PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Atrial fibrillation and flutter with reimbursement,N/A,Did not map,N/A
Endovascular or surgical operations to intracerebral aneurysms,intracerebral hemorrhage,Medium,EFO_0005669
Endovascular or surgical operations to intracerebral aneurysms,response to surgery,Medium,EFO_0009951
"Cerebral aneurysm, nonruptured",brain aneurysm,Good,EFO_0003870
Angina pectoris,angina pectoris,Good,EFO_0003913
Coronary angiopasty,Coronary Vasospasm,Medium,EFO_0004225
Coronary angiopasty,Coronary Restenosis,Medium,EFO_0004224
Aortic aneurysm,aortic aneurysm,Good,EFO_0001666
Dissection of aorta,Familial aortic dissection,Medium,Orphanet_229
Dissection of aorta,Familial thoracic aortic aneurysm and aortic dissection,Medium,Orphanet_91387
Arterial embolism and thrombosis,N/A,Did not map,N/A
Arterial embolism and thrombosis of lower extremity artery,N/A,Did not map,N/A
Other arterial embolism and thrombosis,N/A,Did not map,N/A
Other diseases of arteries and capillaries,N/A,Did not map,N/A
"Atherosclerosis, excluding cerebral, coronary and PAD",N/A,Did not map,N/A
AV-block,atrioventricular block (disease),Medium,MONDO_0000465
AV-block,third-degree atrioventricular block,Medium,MONDO_0000468
Coronary artery bypass grafting,coronary artery bypass,Good,EFO_0003776
Cardiac arrest,cardiac arrest,Good,EFO_0009492
"Cardiomyopathies, Primary/intrinsic",cardiomyopathy,Medium,EFO_0000318
"Cardiomyopathies, Primary/intrinsic",dilated cardiomyopathy,Medium,EFO_0000407
Cardiomyopathy,cardiomyopathy,Good,EFO_0000318
"Cardiomyopathy, Hypertrophic obstructive",hypertrophic cardiomyopathy,Good,EFO_0000538
"Cardiomyopathy, other and unspecified",anthrax infection,Medium,EFO_0000778
"Cardiomyopathy, other and unspecified",schizophrenia,Medium,EFO_0000692
"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere",respiratory system disease,Medium,EFO_0000684
"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere",digestive system disease,Medium,EFO_0000405
Cerebrovascular diseases,cerebrovascular disorder,Good,EFO_0003763
Major coronary heart disease event,coronary artery disease,Good,EFO_0001645
Major coronary heart disease event excluding revascularizations,coronary artery disease,Good,EFO_0001645
Conduction disorders,communication disorder,Medium,MONDO_0002182
Conduction disorders,perceptual disorders,Medium,MONDO_0024417
Coronary atherosclerosis,coronary artery disease,Good,EFO_0001645
Cardiovascular diseases,cardiovascular disease,Good,EFO_0000319
Hard cardiovascular diseases,cardiovascular disease,Good,EFO_0000319
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",N/A,Did not map,N/A
"Diseases of arteries, arterioles and capillaries",N/A,Did not map,N/A
DVT of lower extremities and pulmonary embolism,N/A,Did not map,N/A
Endocarditis,endocarditis,Good,EFO_0000465
Dronedarone medication,medication adherence behavior,Good,EFO_0006344
"Heart failure,strict",heart failure,Medium,EFO_0003144
"Heart failure,strict",diastolic heart failure,Medium,EFO_1000899
All-cause Heart Failure,heart failure,Medium,EFO_0003144
All-cause Heart Failure,diastolic heart failure,Medium,EFO_1000899
"Heart failure, not strict",diastolic heart failure,Medium,EFO_1000899
"Heart failure, not strict",heart failure,Medium,EFO_0003144
Hypertensive diseases,hypertensive retinopathy,Medium,EFO_1000977
Hypertensive diseases,hypertension,Medium,EFO_0000537
Hypertrophic cardiomyopathy,hypertrophic cardiomyopathy,Good,EFO_0000538
Hypotension,hypotension,Good,EFO_0005251
Hypertension,hypertension,Good,EFO_0000537
Secondary hypertension,secondary hypertension,Good,EFO_1002034
"Hypertension, essential",primary hypertension,Medium,EFO_1002032
"Hypertension, essential",hypertension,Medium,EFO_0000537
Hypertensive Heart Disease,hypertensive heart disease,Good,MONDO_0001302
Hypertensive heart and/or renal disease,hypertensive renal disease,Medium,MONDO_0024633
Hypertensive heart and/or renal disease,hypertensive heart disease,Medium,MONDO_0001302
"Hypertension complicating pregnancy, childbirth, and the puerperium",N/A,Did not map,N/A
Hypertensive Renal Disease,hypertensive renal disease,Good,MONDO_0024633
Intracerebral haemmorrhage,intracerebral hemorrhage,Medium,EFO_0005669
Intracerebral haemmorrhage,lobar intracerebral hemorrhage,Medium,EFO_0010177
"Ischaemic heart disease, wide definition",heart disease,Good,EFO_0003777
Nontraumatic intracranial haemmorrhage,intracranial hypotension,Medium,EFO_1000993
Nontraumatic intracranial haemmorrhage,intracranial vasospasm,Medium,EFO_1000994
Ischemic heart diseases,heart disease,Medium,EFO_0003777
Ischemic heart diseases,Myocardial Ischemia,Medium,EFO_1001375
Death due to cardiac causes,dead,Medium,PATO_0001422
Death due to cardiac causes,neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation,Medium,MONDO_0014700
Left bundle-branch block,Left bundle branch block,Medium,HP_0011713
Left bundle-branch block,left bundle branch block,Medium,MONDO_0000991
Nonspesific lymphadenitis,Lymphadenitis,Medium,HP_0002840
Nonspesific lymphadenitis,lymphadenitis (disease),Medium,MONDO_0002052
Other noninfective disordersof lymphatic vessels and lymph nodes,N/A,Did not map,N/A
Myocardial infarction,myocardial infarction,Good,EFO_0000612
"Myocardial infarction, strict",myocardial infarction,Medium,EFO_0000612
"Myocardial infarction, strict",anterolateral myocardial infarction,Medium,EFO_1000812
Myocarditis,myocarditis,Good,EFO_0009609
Non-ischemic cardiomyopathy,nonischemic cardiomyopathy,Good,EFO_0009881
Nonischemic cardiomyopathy,nonischemic cardiomyopathy,Good,EFO_0009881
Non-rheumatic valve diseases,mitral valve disease,Medium,EFO_0009557
Non-rheumatic valve diseases,aortic valve insufficiency,Medium,EFO_0007148
Other CVD,cardiovascular disease,Good,EFO_0000319
Other aneurysm,aneurysm,Medium,EFO_0009659
Other aneurysm,heart aneurysm,Medium,EFO_1000959
Other arrhytmias,Other metabolic disease,Medium,Orphanet_91088
Other arrhytmias,Other genetic epidermal disease,Medium,Orphanet_79360
Other heart diseases,cardiovascular disease,Medium,EFO_0000319
Other heart diseases,heart disease,Medium,EFO_0003777
Other or ill-defined heart diseases,cardiovascular disease,Medium,EFO_0000319
Other or ill-defined heart diseases,heart disease,Medium,EFO_0003777
Other intracranial haemorrhages,intracranial hypotension,Medium,EFO_1000993
Other intracranial haemorrhages,intracranial vasospasm,Medium,EFO_1000994
Other other unspecified disorders of the circulatory system,cardiovascular disease,Medium,EFO_0000319
Other other unspecified disorders of the circulatory system,immune system disease,Medium,EFO_0000540
Other peripheral vascular diseases,peripheral vascular disease,Good,EFO_0003875
Peripheral artery disease,peripheral arterial disease,Good,EFO_0004265
Paroxysmal tachycardia,paroxysmal tachycardia,Good,EFO_0009493
Other diseases of pericardium,cardiovascular disease,Good,EFO_0000319
Pericarditis,pericarditis,Good,EFO_0007427
Peripheral artery operations in Hilmo,Peripheral pulmonary artery stenosis,Medium,HP_0004969
Peripheral artery operations in Hilmo,Arterial thrombosis,Medium,HP_0004420
Phlebitis and thrombophlebitis (not including DVT),Recurrent thrombophlebitis,Good,HP_0004419
DVT of lower extremities,Distal sensory impairment,Medium,HP_0002936
DVT of lower extremities,Impaired vibration sensation in the lower limbs,Medium,HP_0002166
Status post-ami,status epilepticus,Medium,EFO_0008526
Status post-ami,HER2 status,Medium,EFO_0005514
Progressive vascular leukoencephalopathy,progressive multifocal leukoencephalopathy,Good,EFO_0007455
Pulmonary embolism,pulmonary embolism,Good,EFO_0003827
"Pulmonary heart disease, diseases of pulmonary circulation",lung disease,Good,EFO_0003818
Other pulmonary heart/vessel disease,chronic pulmonary heart disease,Medium,MONDO_0001493
Other pulmonary heart/vessel disease,cor pulmonale,Medium,MONDO_0004596
Portal vein thrombosis,Portal vein thrombosis,Good,HP_0030242
Right bundle-branch block,Right bundle branch block,Good,HP_0011712
Coronary revascularization (ANGIO or CABG),coronary artery bypass,Medium,EFO_0003776
Coronary revascularization (ANGIO or CABG),Coronary Restenosis,Medium,EFO_0004224
Rheumatic fever incl heart disease,rheumatic heart disease,Medium,EFO_1001161
Rheumatic fever incl heart disease,rheumatic fever,Medium,EFO_1001160
Rheumatic valve diseases,aortic valve insufficiency,Medium,EFO_0007148
Rheumatic valve diseases,aortic stenosis,Medium,EFO_0000266
Subarachnoid haemmorrhage,subarachnoid hemorrhage,Good,EFO_0000713
"Aneurysms, operations, SAH","number of operations, self-reported",Good,EFO_0009802
Secondary right heart disease,heart disease,Medium,EFO_0003777
Secondary right heart disease,alcoholic cardiomyopathy,Medium,EFO_1000801
Sequelae of cerebrovascular disease,basal ganglia cerebrovascular disease,Good,EFO_1000640
"Occlusion and stenosis of arteries, not leading to stroke",N/A,Did not map,N/A
"Stroke, excluding SAH",stroke,Good,EFO_0000712
"Ischaemic Stroke, excluding all haemorrhages",stroke,Good,EFO_0000712
"Stroke, including SAH",stroke,Good,EFO_0000712
Other embolism and thrombosis,N/A,Did not map,N/A
Transient ischemic attack,transient ischemic attack,Good,EFO_0003764
Unstable angina pectoris,angina pectoris,Medium,EFO_0003913
Unstable angina pectoris,Prinzmetal's angina,Medium,EFO_1000013
Valvular operations,"number of operations, self-reported",Good,EFO_0009802
Varicose veins,Varicose veins,Good,HP_0002619
Oesophageal varices,esophageal varices,Good,EFO_0009545
Varicose veins of other sites,Varicose veins,Medium,HP_0002619
Varicose veins of other sites,pelvic varices,Medium,MONDO_0004869
Vascular dementia,vascular dementia,Good,EFO_0004718
Vascular diseases of the intestine,vascular disease,Good,EFO_0004264
Vascular syndromes of brain in cerebrovascular disorders,cerebrovascular disorder,Good,EFO_0003763
Other disorders of veins,psoriasis,Medium,EFO_0000676
Other disorders of veins,glaucoma,Medium,EFO_0000516
Valvular heart disease including rheumatic fever,rheumatic heart disease,Good,EFO_1001161
Venous thromboembolism,venous thromboembolism,Good,EFO_0004286
"Viral hepatitis, IBD co-morbidity",viral human hepatitis infection,Medium,EFO_0004196
"Viral hepatitis, IBD co-morbidity",animal viral hepatitis,Medium,EFO_0007540
Interstitial lung disease,interstitial lung disease,Good,EFO_0004244
ILD-related co-morbidities,Coimbra ecotype,Good,EFO_0005176
"ILD Co-morbidites, CVD and metabolic diseases",N/A,Did not map,N/A
ILD differential diagnosis,Genetic interstitial lung disease,Medium,Orphanet_264992
ILD differential diagnosis,interstitial lung disease specific to infancy,Medium,MONDO_0017019
Interstitial lung disease endpoints,interstitial lung disease,Good,EFO_0004244
"ILD, hospital admissions",Genetic interstitial lung disease,Medium,Orphanet_264992
"ILD, hospital admissions",interstitial lung disease specific to infancy,Medium,MONDO_0017019
"ILD, hospital admissions 1, main diag only",Sertoli Cell-Only Syndrome,Good,EFO_1001422
"ILD, hospital admissions 3, with pneumonia sepsis",pneumonia,Medium,EFO_0003106
"ILD, hospital admissions 3, with pneumonia sepsis",Cryptogenic Organizing Pneumonia,Medium,EFO_1001300
"ILD, hospital admission 2, with pulmonary infections",Monocytopenia with susceptibility to infections,Medium,Orphanet_228423
"ILD, hospital admission 2, with pulmonary infections",secondary interstitial lung disease in childhood and adulthood associated with a connective tissue disease,Medium,MONDO_0015928
ILD-related respiratory insufficiency,respiratory failure,Good,EFO_0009686
ILD related to systemic autoimmune disease,secondary interstitial lung disease specific to childhood associated with a systemic disease,Medium,MONDO_0017020
ILD related to systemic autoimmune disease,secondary interstitial lung disease specific to adulthood associated with a systemic disease,Medium,MONDO_0017028
Autoimmune diseases related-to ILD,CNS demyelinating autoimmune disease,Good,EFO_1000870
All influenza (not pneumonia),pneumonia,Medium,EFO_0003106
All influenza (not pneumonia),all pairs,Medium,EFO_0001763
Invasive ventilation,invasive mechanical ventilation,Good,EFO_0010720
Idiopathic pulmonary fibrosis (attempt to specificity),idiopathic pulmonary fibrosis,Good,EFO_0000768
Abscess of lung,Lung Abscess,Medium,EFO_1001362
Abscess of lung,abscess,Medium,EFO_0003030
Unspecified acute lower respiratory infection,severe acute respiratory syndrome,Medium,EFO_0000694
Unspecified acute lower respiratory infection,osteomyelitis,Medium,EFO_0003102
Acute upper respiratory infections of multiple and unspecified sites,osteomyelitis,Medium,EFO_0003102
Acute upper respiratory infections of multiple and unspecified sites,Hodgkins lymphoma,Medium,EFO_0000183
Adult respiratory distress syndrome,adult acute respiratory distress syndrome,Good,MONDO_0100130
Pneumoconiosis due to asbestos and other mineral fibres,N/A,Did not map,N/A
Asthma,asthma,Good,EFO_0000270
Asthma/COPD (KELA code 203),asthma,Medium,EFO_0000270
Asthma/COPD (KELA code 203),atopic asthma,Medium,EFO_0010638
Asthma (more controls excluded),asthma,Medium,EFO_0000270
Asthma (more controls excluded),atopic asthma,Medium,EFO_0010638
Asthma (only as main-diagnosis),asthma,Medium,EFO_0000270
Asthma (only as main-diagnosis),atopic asthma,Medium,EFO_0010638
Asthma (only as main-diagnosis) (more controls excluded),asthma,Medium,EFO_0000270
Asthma (only as main-diagnosis) (more controls excluded),atopic asthma,Medium,EFO_0010638
"Bronchitis, not specified as acute or chronic",chronic bronchitis,Medium,EFO_0006505
"Bronchitis, not specified as acute or chronic","Chronic Eosinophilic Leukemia, Not Otherwise Specified",Medium,EFO_1000178
Bronchiectasis,Bronchiectasis,Medium,HP_0002110
Bronchiectasis,bronchiectasis,Medium,MONDO_0004822
Acute bronchiolitis,Bronchiolitis,Medium,HP_0011950
Acute bronchiolitis,bronchiolitis (disease),Medium,MONDO_0002465
Acute bronchitis,Acute bronchitis,Good,HP_0012388
Unspecified chronic bronchitis,chronic bronchitis,Good,EFO_0006505
Chronic laryngitis and laryngotracheitis,N/A,Did not map,N/A
"Chronic rhinitsi, nasopharyngitis and pharyngitis",N/A,Did not map,N/A
Chronic sinusitis,chronic rhinosinusitis,Good,EFO_1000024
Chronic diseases of tonsils and adenoids,N/A,Did not map,N/A
Acute nasopharyngitis(common cold),common cold,Good,EFO_0007214
COPD,chronic obstructive pulmonary disease,Good,EFO_0000341
Other chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,Good,EFO_0000341
Emphysema,emphysema,Good,EFO_0000464
Acute epiglottitis,epiglottitis,Good,EFO_0007261
Lung diseases due to external agents,respiratory system disease,Good,EFO_0000684
Hypersensitivity pneumonitis due to organic dust,"hypersensitivity pneumonitis, familial",Medium,MONDO_0007776
Hypersensitivity pneumonitis due to organic dust,hypersensitivity pneumonitis,Medium,MONDO_0017853
All influenza,all pairs,Good,EFO_0001763
Influenza and pneumonia,N/A,Did not map,N/A
Other respiratory diseases principally affecting the interstitium,respiratory system disease,Medium,EFO_0000684
Other respiratory diseases principally affecting the interstitium,cardiovascular disease,Medium,EFO_0000319
Acute laryngitis and tracheitis,N/A,Did not map,N/A
Chronic lower respiratory diseases,respiratory system disease,Good,EFO_0000684
Other acute lower respiratory infections,Recurrent upper respiratory tract infections,Medium,HP_0002788
Other acute lower respiratory infections,Recurrent respiratory infections,Medium,HP_0002205
Nasal polyp,Nasal Cavity Polyp,Good,EFO_1000391
Suppurative and necrotic conditions of lower respiratory tract,N/A,Did not map,N/A
Other insterstitial pulmonary diseases,respiratory system disease,Medium,EFO_0000684
Other insterstitial pulmonary diseases,lung disease,Medium,EFO_0003818
Peritonsillar abscess,peritonsillar abscess,Good,EFO_0007429
Acute pharyngitis,acute pharyngitis,Good,EFO_0009657
Other diseases of pleura,digestive system disease,Good,EFO_0000405
Pleural effusion,pleural effusion,Good,EFO_0009637
Other pleural conditions,respiratory system disease,Medium,EFO_0000684
Other pleural conditions,atopic eczema,Medium,EFO_0000274
Pleural plaque,psoriasis vulgaris,Good,EFO_1001494
Bacterial pneumoniae,Streptococcus pneumoniae,Medium,NCBITaxon_1313
Bacterial pneumoniae,Klebsiella pneumoniae,Medium,NCBITaxon_573
"Bacterial pneumonia, not elsewhere classified",bacterial pneumonia,Medium,EFO_1001272
"Bacterial pneumonia, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Pneumonia, organism unsepcified",pneumonia,Medium,EFO_0003106
"Pneumonia, organism unsepcified",viral pneumonia,Medium,EFO_0007541
All pneumoniae,Streptococcus pneumoniae,Medium,NCBITaxon_1313
All pneumoniae,Klebsiella pneumoniae,Medium,NCBITaxon_573
Pneumonitis due to solids and liquids,N/A,Did not map,N/A
"Pneumonia due to other infectious organisms, not elsewhere classified",pneumonia,Medium,EFO_0003106
"Pneumonia due to other infectious organisms, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
Pneumonia due to Streptococcus pneumoniae,streptococcal pneumonia,Medium,EFO_0007499
Pneumonia due to Streptococcus pneumoniae,Mycoplasma pneumoniae pneumonia,Medium,EFO_0007387
Pneumonia (excl. viral and due to other infectious organisms not elsewhere classified),pneumonia,Medium,EFO_0003106
Pneumonia (excl. viral and due to other infectious organisms not elsewhere classified),viral pneumonia,Medium,EFO_0007541
Pneumothorax,Pneumothorax,Medium,HP_0002107
Pneumothorax,pneumothorax (disease),Medium,MONDO_0002076
"Pulmonary eosinophilia, not elsewhere classified",chronic obstructive pulmonary disease,Medium,EFO_0000341
"Pulmonary eosinophilia, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
Pulmonary oedema,pulmonary edema,Good,EFO_1001134
Pyothorax,pleural empyema,Good,EFO_0009680
Respiratory conditions due to other external agents,respiratory system disease,Good,EFO_0000684
Other respiratory disorders and diseases,digestive system disease,Medium,EFO_0000405
Other respiratory disorders and diseases,disease,Medium,EFO_0000408
Diseases of the respiratory system,respiratory system disease,Good,EFO_0000684
Other diseases of the respiratory system,respiratory system disease,Medium,EFO_0000684
Other diseases of the respiratory system,digestive system disease,Medium,EFO_0000405
Deviated nasal septum,Nasal Septal Perforation,Good,EFO_1001813
Simple and mucoplurulent chronic bronchitis,N/A,Did not map,N/A
Acute sinusitis,sinusitis,Medium,EFO_0007486
Acute sinusitis,common cold,Medium,EFO_0007214
Other and unspecified tonssillitis,schizophrenia,Medium,EFO_0000692
Other and unspecified tonssillitis,anthrax infection,Medium,EFO_0000778
Other diseases of upper respiratory tract,respiratory system disease,Good,EFO_0000684
Acute upper respiratory infections,Recurrent upper respiratory tract infections,Medium,HP_0002788
Acute upper respiratory infections,Recurrent respiratory infections,Medium,HP_0002205
Vasomotor and allergic rhinitis,N/A,Did not map,N/A
Viral pneumonia,viral pneumonia,Good,EFO_0007541
"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",N/A,Did not map,N/A
Pain in joint,Arthralgia,Medium,HP_0002829
Pain in joint,Abdominal pain,Medium,HP_0002027
Juvenile arthritis (FINNGEN),juvenile idiopathic arthritis,Medium,EFO_0002609
Juvenile arthritis (FINNGEN),systemic juvenile idiopathic arthritis,Medium,EFO_1001999
Abscess of anal and rectal regions,digestive system disease,Good,EFO_0000405
Achalasia of cardia,Achalasia,Medium,HP_0002571
Achalasia of cardia,cardia cancer,Medium,MONDO_0001063
Acute gastritis,gastritis,Good,EFO_0000217
Acute pancreatitis,acute pancreatitis,Good,EFO_1000652
Intestinal adhesions without obstruction,intestinal pseudo-obstruction,Good,EFO_1000988
Alcoholic gastritis,alcoholic gastritis,Good,MONDO_0004640
Alcoholic liver disease,alcoholic liver disease,Good,EFO_0008573
Acute appendicitis,appendicitis,Good,EFO_0007149
Diseases of appendix,Appendix Adenocarcinoma,Good,EFO_1000088
Other appendicitis,appendicitis,Good,EFO_0007149
Barret oesophagus,esophagus,Medium,UBERON_0001043
Barret oesophagus,Prune belly syndrome,Medium,Orphanet_2970
Other diseases of biliary tract,Abnormal biliary tract morphology,Medium,HP_0012440
Other diseases of biliary tract,biliary tract cancer,Medium,MONDO_0003060
"Crohn disease (strict definition, require KELA)",perianal Crohn's disease,Medium,EFO_0005627
"Crohn disease (strict definition, require KELA)",oral Crohn's disease,Medium,EFO_0005625
"Crohn disease ( strict definition, all UC cases excluded)",perianal Crohn's disease,Medium,EFO_0005627
"Crohn disease ( strict definition, all UC cases excluded)",oral Crohn's disease,Medium,EFO_0005625
"Crohn disease ( strict definition, require KELA, min 2 HDR)",perianal Crohn's disease,Medium,EFO_0005627
"Crohn disease ( strict definition, require KELA, min 2 HDR)",oral Crohn's disease,Medium,EFO_0005625
"Cholangitis (primary sclerosing, PSC)",sclerosing cholangitis,Good,EFO_0004268
"Cholangitis (primary sclerosing, PSC), with reimbursement 202",sclerosing cholangitis,Good,EFO_0004268
Chlocystitis,N/A,Did not map,N/A
Cholelithiasis,cholelithiasis,Good,EFO_0004799
Chronic gastritis,chronic gastritis,Good,EFO_0000337
"Chronic hepatitis, not elsewhere classified",chronic obstructive pulmonary disease,Medium,EFO_0000341
"Chronic hepatitis, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
Chronic pancreatitis,chronic pancreatitis,Good,EFO_0000342
Coeliac disease,celiac disease,Good,EFO_0001060
Crohn disease,Crohn's disease,Good,EFO_0000384
Diaphragmatic hernia,diaphragmatic hernia,Medium,EFO_0008561
Diaphragmatic hernia,congenital diaphragmatic hernia,Medium,EFO_0007216
Other diseases of liver,liver disease,Medium,EFO_0001421
Other diseases of liver,alcoholic liver disease,Medium,EFO_0008573
Disorders of oesophagus in diseases classified elsewhere,respiratory system disease,Medium,EFO_0000684
Disorders of oesophagus in diseases classified elsewhere,cardiomyopathy,Medium,EFO_0000318
Diverticular disease of intestine,diverticular disease,Good,EFO_0009959
Duodenal ulcer,duodenal ulcer,Good,EFO_0004607
Noninfective enteritis and colitis,Crohn's disease,Good,EFO_0000384
Femoral hernia,femoral hernia,Good,EFO_1001791
Fibrosis and chirrhosis of liver,N/A,Did not map,N/A
Fissure and fistula of anal and rectal regions,N/A,Did not map,N/A
Functional dyspepsia,dyspepsia,Medium,EFO_0008533
Functional dyspepsia,functional laterality,Medium,EFO_0003889
"Disorders of gallbladder, biliary tract and pancreas","Genetic visceral malformation of the liver, biliary tract, pancreas or spleen",Good,Orphanet_183548
Other diseases of gallbladder,gallbladder disease,Medium,EFO_0003832
Other diseases of gallbladder,digestive system disease,Medium,EFO_0000405
Gastroduodenal ulcer,Gastroduodenal malformation,Medium,Orphanet_97944
Gastroduodenal ulcer,ulcer,Medium,MPATH_579
GI-bleeding,Gastrointestinal hemorrhage,Medium,HP_0002239
GI-bleeding,Gastrointestinal angiodysplasia,Medium,HP_0000471
Gastrointestinal diseases,digestive system disease,Good,EFO_0000405
Gastric ulcer,gastric ulcer,Good,EFO_0009454
Haemmorrhoids and perianal venous thrombosis,N/A,Did not map,N/A
"Hepatic failure, not elsewhere classified",Hepatic failure,Medium,HP_0001399
"Hepatic failure, not elsewhere classified",Acute hepatic failure,Medium,HP_0006554
Inguinal hernia,Inguinal hernia,Good,HP_0000023
Hernia,Hernia,Good,HP_0100790
Inflammatory bowel disease,inflammatory bowel disease,Good,EFO_0003767
"Inflammatory bowel disease, strict (require KELA)",inflammatory bowel disease,Good,EFO_0003767
Irritable bowel syndrome,irritable bowel syndrome,Good,EFO_0000555
Paralytic ileus and intestinal obstruction,Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,Good,Orphanet_314376
Other diseases of intestines,digestive system disease,Medium,EFO_0000405
Other diseases of intestines,cardiovascular disease,Medium,EFO_0000319
Intussusception,Intussusception,Good,HP_0002576
"Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)",Crohn's disease,Medium,EFO_0000384
"Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)",perianal Crohn's disease,Medium,EFO_0005627
IBD patients in KELA-register,inflammatory bowel disease,Good,EFO_0003767
"UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)",UM-UC-1,Medium,EFO_0006770
"UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)",UM-UC-3,Medium,EFO_0006771
Diseases of liver,liver disease,Medium,EFO_0001421
Diseases of liver,alcoholic liver disease,Medium,EFO_0008573
Intestinal malabsorbtion,Intestinal malformation,Medium,Orphanet_97945
Intestinal malabsorbtion,intestinal lymphangiectasia (disease),Medium,MONDO_0018178
Oesophagitis,Esophagitis,Good,HP_0100633
Oesophageal obstruction,duodenal obstruction,Good,EFO_1000908
"Diseases of oesophagus, stomach and duodenum",N/A,Did not map,N/A
Ulcer of oesophagus,chronic ulcer of skin,Good,EFO_0007066
Other and unspecified abdominal hernia,schizophrenia,Medium,EFO_0000692
Other and unspecified abdominal hernia,anthrax infection,Medium,EFO_0000778
Other diseases of anus and rectum,digestive system disease,Good,EFO_0000405
Other diseases of appendix,digestive system disease,Medium,EFO_0000405
Other diseases of appendix,cardiovascular disease,Medium,EFO_0000319
Other diseases of the digestive system,digestive system disease,Medium,EFO_0000405
Other diseases of the digestive system,respiratory system disease,Medium,EFO_0000684
Other diseases of the digestive system,digestive system disease,Medium,EFO_0000405
Other diseases of the digestive system,respiratory system disease,Medium,EFO_0000684
Other diseases of oesophagus,digestive system disease,Medium,EFO_0000405
Other diseases of oesophagus,cardiovascular disease,Medium,EFO_0000319
Other diseases of stomach and duodenum,N/A,Did not map,N/A
Other noninfective gastroenteritis and colitis,N/A,Did not map,N/A
Other functional intestinal disroders,digestive system disease,Medium,EFO_0000405
Other functional intestinal disroders,functional laterality,Medium,EFO_0003889
Other gastritis (incl. Duodenitis),gastritis,Medium,EFO_0000217
Other gastritis (incl. Duodenitis),chronic gastritis,Medium,EFO_0000337
"Other or unspecified ileus, impaction or obstruction",Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,Medium,Orphanet_314376
"Other or unspecified ileus, impaction or obstruction",ileus,Medium,MONDO_0004567
Other inflammatory liver diseases,inflammatory skin disease,Medium,EFO_1000636
Other inflammatory liver diseases,alcoholic liver disease,Medium,EFO_0008573
Other diseases of intestine,digestive system disease,Medium,EFO_0000405
Other diseases of intestine,cardiovascular disease,Medium,EFO_0000319
Other diseases of peritoneum,digestive system disease,Medium,EFO_0000405
Other diseases of peritoneum,cardiovascular disease,Medium,EFO_0000319
Other diseases of pancreas,digestive system disease,Medium,EFO_0000405
Other diseases of pancreas,cardiovascular disease,Medium,EFO_0000319
Paralytic ileus,Paralytic ileus,Good,HP_0002590
Diseases of peritoneum,digestive system disease,Good,EFO_0000405
Acute peritonitis,peritonitis,Medium,EFO_0008588
Acute peritonitis,appendicitis,Medium,EFO_0007149
"Postprocedural disorders of digestive system, not elsewhere classified",digestive system disease,Medium,EFO_0000405
"Postprocedural disorders of digestive system, not elsewhere classified",immune system disease,Medium,EFO_0000540
"Colitis, primary sclerosing",sclerosing cholangitis,Medium,EFO_0004268
"Colitis, primary sclerosing",colitis,Medium,EFO_0003872
"Colitis, primary sclerosing, strict definition",sclerosing cholangitis,Medium,EFO_0004268
"Colitis, primary sclerosing, strict definition",colitis,Medium,EFO_0003872
Peptic ulcer,Peptic ulcer,Medium,HP_0004398
Peptic ulcer,peptic ulcer disease,Medium,MONDO_0004247
Gastro-oesophageal reflux disease,gastroesophageal reflux disease,Medium,EFO_0003948
Gastro-oesophageal reflux disease,Peptic ulcer and gastro-oesophageal reflux disease (GORD) drug use measurement,Medium,EFO_0009923
KELA_REIMBURSEMENT_202,N/A,Did not map,N/A
Toxic liver disease,drug-induced liver injury,Medium,EFO_0004228
Toxic liver disease,Toxic Nodular Goiter,Medium,EFO_0009191
"Ulcerative colitis ( strict definition, require KELA)",ulcerative colitis,Medium,EFO_0000729
"Ulcerative colitis ( strict definition, require KELA)",Dysplasia in Ulcerative Colitis,Medium,EFO_1000226
"Ulcerative colitis ( strict definition, all Crohn cases excluded)",ulcerative colitis,Medium,EFO_0000729
"Ulcerative colitis ( strict definition, all Crohn cases excluded)",Dysplasia in Ulcerative Colitis,Medium,EFO_1000226
"Ulcerative colitis (strict definition, require KELA, min 2 HDR)",ulcerative colitis,Medium,EFO_0000729
"Ulcerative colitis (strict definition, require KELA, min 2 HDR)",Dysplasia in Ulcerative Colitis,Medium,EFO_1000226
Ulcerative colitis,ulcerative colitis,Good,EFO_0000729
