	term	label	source	quality	action
Varicose veins of other sites (no controls excluded)	http://purl.obolibrary.org/obo/HP_0002619	Varicose veins	OLS API EFO lookup	fuzzy	check if valid
Varicose veins (no controls excluded)	http://purl.obolibrary.org/obo/HP_0002619	Varicose veins	OLS API EFO lookup	fuzzy	check if valid
Vascular diseases of the intestine	http://www.ebi.ac.uk/efo/EFO_0004264	vascular disease	OLS API EFO lookup	fuzzy	check if valid
Other disorders of veins	http://www.ebi.ac.uk/efo/EFO_0004264	Other disorders of veins	Zooma API lookup	match	
Other disorders of veins (no controls excluded)	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Valvular heart disease including rheumatic fever	http://www.ebi.ac.uk/efo/EFO_1001161	rheumatic heart disease	OLS API EFO lookup	fuzzy	check if valid
Valvular heart disease including rheumatic fever (no controls excluded)	http://www.ebi.ac.uk/efo/EFO_1001161	rheumatic heart disease	OLS API EFO lookup	fuzzy	check if valid
Venous thromboembolism	http://www.ebi.ac.uk/efo/EFO_0004286	venous thromboembolism	EFO OBO	match	
Interstitial lung disease	http://www.ebi.ac.uk/efo/EFO_0004244	interstitial lung disease	EFO OBO	match	
Interstitial lung disease endpoints	http://www.ebi.ac.uk/efo/EFO_0004244	interstitial lung disease	OLS API EFO lookup	fuzzy	check if valid
ILD-related respiratory insufficiency	http://purl.obolibrary.org/obo/HP_0002093	Respiratory insufficiency	OLS API EFO lookup	fuzzy	check if valid
ILD related to systemic autoimmune disease	http://purl.obolibrary.org/obo/MONDO_0015939	systemic autoimmune disease	OLS API EFO lookup	fuzzy	check if valid
Increased muscle tone	http://purl.obolibrary.org/obo/HP_0001276	Hypertonia	OLS API EFO lookup	match	
All influenza (not pneumonia)	http://www.ebi.ac.uk/efo/EFO_0007541	viral pneumonia	OLS API EFO lookup	fuzzy	check if valid
Invasive ventilation					
Idiopathic pulmonary fibrosis	http://www.ebi.ac.uk/efo/EFO_0000768	idiopathic pulmonary fibrosis	EFO OBO	match	
Abscess of lung	http://www.ebi.ac.uk/efo/EFO_1001362	Lung Abscess	OLS API EFO lookup	fuzzy	check if valid
Unspecified acute lower respiratory infection	http://www.ebi.ac.uk/efo/EFO_0009433	Unspecified acute lower respiratory infection	Zooma API lookup	match	
Acute upper respiratory infections of multiple and unspecified sites	http://www.ebi.ac.uk/efo/EFO_0003102	osteomyelitis	OLS API EFO lookup	fuzzy	check if valid
Adult respiratory distress syndrome	http://purl.obolibrary.org/obo/MONDO_0100130	adult acute respiratory distress syndrome	EFO OBO	match	
Pneumoconiosis due to asbestos and other mineral fibres					
Asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	EFO OBO	match	
Asthma/COPD (KELA code 203)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (only as main-diagnosis)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (only as main-diagnosis) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Bronchitis, not specified as acute or chronic	http://www.ebi.ac.uk/efo/EFO_0009661	"""Bronchitis, not specified as acute or chronic"""	Zooma API lookup	match	
Bronchiectasis	http://purl.obolibrary.org/obo/MONDO_0004822	bronchiectasis	EFO OBO	match	
Acute bronchiolitis	http://purl.obolibrary.org/obo/HP_0011950	Bronchiolitis	OLS API EFO lookup	fuzzy	check if valid
Acute bronchitis	http://www.ebi.ac.uk/efo/EFO_0009661	bronchitis	EFO OBO	match	
Unspecified chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0006505	chronic bronchitis	OLS API EFO lookup	fuzzy	check if valid
Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours					
Chronic laryngitis and laryngotracheitis	http://www.ebi.ac.uk/efo/EFO_0007227	croup	OLS API EFO lookup	fuzzy	check if valid
Chronic rhinitsi, nasopharyngitis and pharyngitis	http://purl.obolibrary.org/obo/MONDO_0002258	pharyngitis	OLS API EFO lookup	fuzzy	check if valid
Chronic sinusitis	http://www.ebi.ac.uk/efo/EFO_1000024	chronic rhinosinusitis	EFO OBO	match	
Chronic diseases of tonsils and adenoids	http://www.ebi.ac.uk/efo/EFO_0007352	Chronic diseases of tonsils and adenoids	Zooma API lookup	match	
Acute nasopharyngitis(common cold)	http://www.ebi.ac.uk/efo/EFO_0007214	common cold	OLS API EFO lookup	fuzzy	check if valid
COPD	http://www.ebi.ac.uk/efo/EFO_0000341	COPD	Zooma API lookup	match	
Other chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other chronic obstructive pulmonary disease	Zooma API lookup	match	
Emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	emphysema	EFO OBO	match	
Acute epiglottitis	http://www.ebi.ac.uk/efo/EFO_0007261	epiglottitis	EFO OBO	match	
Lung diseases due to external agents					
Hypersensitivity pneumonitis due to organic dust	http://purl.obolibrary.org/obo/MONDO_0017853	hypersensitivity pneumonitis	OLS API EFO lookup	fuzzy	check if valid
All influenza					
Influenza and pneumonia	http://www.ebi.ac.uk/efo/EFO_0007541	viral pneumonia	OLS API EFO lookup	fuzzy	check if valid
Other respiratory diseases principally affecting the interstitium					
Acute laryngitis and tracheitis					
Chronic lower respiratory diseases					
Other acute lower respiratory infections	http://purl.obolibrary.org/obo/HP_0002788	Recurrent upper respiratory tract infections	OLS API EFO lookup	fuzzy	check if valid
Nasal polyp	http://www.ebi.ac.uk/efo/EFO_1000391	Nasal Cavity Polyp	EFO OBO	match	
Suppurative and necrotic conditions of lower respiratory tract					
Other insterstitial pulmonary diseases	http://www.ebi.ac.uk/efo/EFO_0001361	pulmonary arterial hypertension	OLS API EFO lookup	fuzzy	check if valid
Peritonsillar abscess	http://www.ebi.ac.uk/efo/EFO_0007429	peritonsillar abscess	EFO OBO	match	
Acute pharyngitis	http://purl.obolibrary.org/obo/MONDO_0002258	pharyngitis	EFO OBO	match	
Other diseases of pleura					
Pleural effusion	http://www.ebi.ac.uk/efo/EFO_0009637	pleural effusion	EFO OBO	match	
Other pleural conditions	http://www.ebi.ac.uk/efo/EFO_0007446	pleural tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Pleural plaque	http://www.ebi.ac.uk/efo/EFO_0007446	pleural tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Bacterial pneumoniae	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Bacterial pneumonia, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_1001272	"""Bacterial pneumonia, not elsewhere classified"""	Zooma API lookup	match	
Pneumonia, organism unsepcified	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
All pneumoniae					
Pneumonitis due to solids and liquids	http://www.ebi.ac.uk/efo/EFO_1001871	acquired cold urticaria	OLS API EFO lookup	fuzzy	check if valid
Pneumonia due to other infectious organisms, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Pneumonia due to Streptococcus pneumoniae	http://www.ebi.ac.uk/efo/EFO_0000772	Pneumonia due to Streptococcus pneumoniae	Zooma API lookup	match	
Pneumonia (excl. viral and due to other infectious organisms not elsewhere classified)	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Pneumothorax	http://purl.obolibrary.org/obo/MONDO_0002076	pneumothorax (disease)	EFO OBO	match	
Pulmonary eosinophilia, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0000341	chronic obstructive pulmonary disease	OLS API EFO lookup	fuzzy	check if valid
Pulmonary oedema	http://www.ebi.ac.uk/efo/EFO_1001134	pulmonary edema	EFO OBO	match	
Pyothorax	http://www.ebi.ac.uk/efo/EFO_0009680	pleural empyema	EFO OBO	match	
Respiratory conditions due to other external agents					
Other respiratory disorders and diseases	http://www.ebi.ac.uk/efo/EFO_1001840	respiratory paralysis	OLS API EFO lookup	fuzzy	check if valid
Diseases of the respiratory system					
Other diseases of the respiratory system					
Deviated nasal septum					
Simple and mucoplurulent chronic bronchitis					
Acute sinusitis	http://www.ebi.ac.uk/efo/EFO_0007486	Acute sinusitis	Zooma API lookup	match	
Other and unspecified tonssillitis	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other diseases of upper respiratory tract	http://purl.obolibrary.org/obo/MONDO_0004867	upper respiratory tract disease	OLS API EFO lookup	fuzzy	check if valid
Acute upper respiratory infections	http://purl.obolibrary.org/obo/HP_0002788	Recurrent upper respiratory tract infections	OLS API EFO lookup	fuzzy	check if valid
Vasomotor and allergic rhinitis					
Viral pneumonia	http://www.ebi.ac.uk/efo/EFO_0007541	viral pneumonia	EFO OBO	match	
Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified					
Pain in joint	http://www.ebi.ac.uk/efo/EFO_1001054	myofascial pain syndrome	OLS API EFO lookup	fuzzy	check if valid
Juvenile arthritis (FINNGEN)	http://www.ebi.ac.uk/efo/EFO_1002019	oligoarticular juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Abscess of anal and rectal regions	http://purl.obolibrary.org/obo/HP_0005224	Abscess of anal and rectal regions	Zooma API lookup	match	
Achalasia of cardia	http://purl.obolibrary.org/obo/HP_0002571	Achalasia	OLS API EFO lookup	fuzzy	check if valid
Acute gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	gastritis	EFO OBO	match	
Acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1000652	acute pancreatitis	EFO OBO	match	
Intestinal adhesions without obstruction	http://purl.obolibrary.org/obo/MONDO_0004565	intestinal obstruction	OLS API EFO lookup	fuzzy	check if valid
Anomalies of dental arch relationship	http://www.orpha.net/ORDO/Orphanet_2916	Postaxial polydactyly - dental and vertebral anomalies	OLS API EFO lookup	fuzzy	check if valid
Anomalies of jaw-cranial base relationship					
Acute appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	EFO OBO	match	
Diseases of appendix	http://www.ebi.ac.uk/efo/EFO_1000088	Appendix Adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Other appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Asymmetry of jaw	http://www.ebi.ac.uk/efo/EFO_0007333	jaw cancer	OLS API EFO lookup	fuzzy	check if valid
Atrophy of salivary gland	http://www.ebi.ac.uk/efo/EFO_1000379	Minor Salivary Gland Adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Excessive attrition of teeth	http://purl.obolibrary.org/obo/HP_0011090	Fused teeth	OLS API EFO lookup	fuzzy	check if valid
Barret oesophagus					
Other diseases of biliary tract	http://purl.obolibrary.org/obo/MONDO_0003060	biliary tract cancer	OLS API EFO lookup	fuzzy	check if valid
Dental caries	http://www.ebi.ac.uk/efo/EFO_0003819	dental caries	EFO OBO	match	
Crohn disease (strict definition, all UC cases excluded)	http://purl.obolibrary.org/obo/MONDO_0000709	Crohn ileitis	OLS API EFO lookup	fuzzy	check if valid
Crohn disease (strict definition, require KELA)	http://purl.obolibrary.org/obo/MONDO_0000709	Crohn ileitis	OLS API EFO lookup	fuzzy	check if valid
Crohn disease (strict definition, require KELA, min 2 HDR)	http://purl.obolibrary.org/obo/MONDO_0000709	Crohn ileitis	OLS API EFO lookup	fuzzy	check if valid
Cholangitis (primary sclerosing, PSC)	http://www.ebi.ac.uk/efo/EFO_0004268	sclerosing cholangitis	OLS API EFO lookup	fuzzy	check if valid
Cholangitis (primary sclerosing, PSC), with reimbursement 202	http://www.ebi.ac.uk/efo/EFO_0004268	sclerosing cholangitis	OLS API EFO lookup	fuzzy	check if valid
Chlocystitis					
Cholelithiasis	http://www.ebi.ac.uk/efo/EFO_0004799	cholelithiasis	EFO OBO	match	
Chronic gastritis	http://www.ebi.ac.uk/efo/EFO_0000337	chronic gastritis	EFO OBO	match	
Chronic hepatitis, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0000341	chronic obstructive pulmonary disease	OLS API EFO lookup	fuzzy	check if valid
Chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis	EFO OBO	match	
Coeliac disease	http://www.ebi.ac.uk/efo/EFO_0001060	celiac disease	EFO OBO	match	
Constipation	http://purl.obolibrary.org/obo/MONDO_0002203	constipation disorder	EFO OBO	match	
Crohn disease	http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	OLS API EFO lookup	match	
Crossbite	http://purl.obolibrary.org/obo/MONDO_0010560	cleft palate with or without ankyloglossia, X-linked	OLS API EFO lookup	fuzzy	check if valid
Crowding of teeth	http://purl.obolibrary.org/obo/HP_0000678	Dental crowding	OLS API EFO lookup	fuzzy	check if valid
Deep bite	http://www.ebi.ac.uk/efo/EFO_0008376	mosquito bite measurement	OLS API EFO lookup	fuzzy	check if valid
Dentofacial anomalies [including malocclusion]	http://www.orpha.net/ORDO/Orphanet_2491	Müllerian duct anomalies - limb anomalies	OLS API EFO lookup	fuzzy	check if valid
Deposits [accretions] on teeth					
Diaphragmatic hernia	http://www.ebi.ac.uk/efo/EFO_0008561	diaphragmatic hernia	EFO OBO	match	
Other diseases of liver	http://www.ebi.ac.uk/efo/EFO_0001421	Other diseases of liver	Zooma API lookup	match	
Disorders of oesophagus in diseases classified elsewhere	http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	OLS API EFO lookup	fuzzy	check if valid
Other disorders of teeth and supporting structures	http://www.ebi.ac.uk/efo/EFO_1001216	Other disorders of teeth and supporting structures	Zooma API lookup	match	
Distal bite	http://www.ebi.ac.uk/efo/EFO_0008376	mosquito bite measurement	OLS API EFO lookup	fuzzy	check if valid
Diverticular disease of intestine	http://www.ebi.ac.uk/efo/EFO_1001460	Diverticular disease of intestine	Zooma API lookup	match	
Duodenal ulcer	http://www.ebi.ac.uk/efo/EFO_0004607	duodenal ulcer	EFO OBO	match	
Embedded teeth	http://purl.obolibrary.org/obo/HP_0011090	Fused teeth	OLS API EFO lookup	fuzzy	check if valid
Embedded and impacted teeth	http://purl.obolibrary.org/obo/HP_0011079	Embedded and impacted teeth	Zooma API lookup	match	
Noninfective enteritis and colitis	http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	OLS API EFO lookup	fuzzy	check if valid
Erosion of teeth	http://www.ebi.ac.uk/efo/EFO_1000862	cervix erosion	OLS API EFO lookup	fuzzy	check if valid
Tooth eruption problems	http://purl.obolibrary.org/obo/GO_0044691	tooth eruption	OLS API EFO lookup	fuzzy	check if valid
Femoral hernia	http://www.ebi.ac.uk/efo/EFO_1001791	femoral hernia	EFO OBO	match	
Fibrosis and chirrhosis of liver					
Fissure and fistula of anal and rectal regions	http://purl.obolibrary.org/obo/HP_0012390	Fissure and fistula of anal and rectal regions	Zooma API lookup	match	
Colonic or urogenital fistula	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Functional dyspepsia	http://www.ebi.ac.uk/efo/EFO_0008533	dyspepsia	OLS API EFO lookup	fuzzy	check if valid
Disorders of gallbladder, biliary tract and pancreas	http://www.orpha.net/ORDO/Orphanet_183548	Genetic visceral malformation of the liver, biliary tract, pancreas or spleen	OLS API EFO lookup	fuzzy	check if valid
Other diseases of gallbladder	http://www.ebi.ac.uk/efo/EFO_0003832	Other diseases of gallbladder	Zooma API lookup	match	
Gastroduodenal ulcer					
GI-bleeding	http://purl.obolibrary.org/obo/HP_0002239	Gastrointestinal hemorrhage	OLS API EFO lookup	fuzzy	check if valid
Gastrointestinal diseases					
Other disorders of gingiva and edentulous alveolar ridge	http://www.ebi.ac.uk/efo/EFO_0009670	Other disorders of gingiva and edentulous alveolar ridge	Zooma API lookup	match	
Acute gingivitis	http://purl.obolibrary.org/obo/MONDO_0002508	gingivitis	EFO OBO	match	
Chronic gingivitis	http://purl.obolibrary.org/obo/MONDO_0002508	gingivitis	EFO OBO	match	
Gingivitis and periodontal diseases	http://www.ebi.ac.uk/efo/EFO_0000649	Gingivitis and periodontal diseases	Zooma API lookup	match	
Gastrojejunal ulcer					
Gastric ulcer	http://www.ebi.ac.uk/efo/EFO_0009454	gastric ulcer	EFO OBO	match	
Haemmorrhoids and perianal venous thrombosis					
Hepatic failure, not elsewhere classified	http://purl.obolibrary.org/obo/HP_0001399	Hepatic failure	OLS API EFO lookup	fuzzy	check if valid
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	Inguinal hernia	OLS API EFO lookup	match	
Hernia	http://purl.obolibrary.org/obo/HP_0100790	Hernia	OLS API EFO lookup	match	
Hypodontia	http://www.ebi.ac.uk/efo/EFO_0005410	tooth agenesis	EFO OBO	match	
Tooth agenesis EXCLUDE clefts and syndromes	http://www.orpha.net/ORDO/Orphanet_2440	Split hand-split foot malformation	OLS API EFO lookup	fuzzy	check if valid
Inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	EFO OBO	match	
Inflammatory bowel disease, strict (require KELA)	http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	OLS API EFO lookup	fuzzy	check if valid
IBD (strict) with PSC	http://www.ebi.ac.uk/efo/EFO_0004268	sclerosing cholangitis	OLS API EFO lookup	fuzzy	check if valid
Irritable bowel syndrome	http://www.ebi.ac.uk/efo/EFO_0000555	irritable bowel syndrome	EFO OBO	match	
Paralytic ileus and intestinal obstruction	http://purl.obolibrary.org/obo/HP_0004401	Meconium ileus	OLS API EFO lookup	fuzzy	check if valid
Impaction of intestines	http://purl.obolibrary.org/obo/MONDO_0004571	intestinal impaction	OLS API EFO lookup	fuzzy	check if valid
Impacted teeth	http://purl.obolibrary.org/obo/HP_0011079	Impacted tooth	OLS API EFO lookup	fuzzy	check if valid
Other diseases of intestines	http://www.ebi.ac.uk/efo/EFO_0009431	Other diseases of intestine	Zooma API lookup	match	
Intussusception	http://purl.obolibrary.org/obo/HP_0002576	Intussusception	OLS API EFO lookup	match	
Other diseases of jaws	http://www.orpha.net/ORDO/Orphanet_184	Cherubism	OLS API EFO lookup	fuzzy	check if valid
Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)	http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	OLS API EFO lookup	fuzzy	check if valid
IBD patients in KELA-register	http://www.ebi.ac.uk/efo/EFO_1001994	Scleroderma Polymyositis Overlap Syndrome	OLS API EFO lookup	fuzzy	check if valid
UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)					
Other diseases of lip and oral mucosa	http://www.ebi.ac.uk/efo/EFO_1001019	lip cancer	OLS API EFO lookup	fuzzy	check if valid
Diseases of liver	http://www.ebi.ac.uk/efo/EFO_0001421	liver disease	OLS API EFO lookup	fuzzy	check if valid
Major anomalies of jaw size	http://www.ebi.ac.uk/efo/EFO_0007333	jaw cancer	OLS API EFO lookup	fuzzy	check if valid
Intestinal malabsorbtion	http://www.ebi.ac.uk/efo/EFO_0007330	intestinal cancer	OLS API EFO lookup	fuzzy	check if valid
Mandibular molar that has failed to erupt because of obstruction by another tooth	http://www.ebi.ac.uk/efo/EFO_0009193	Pulmonary arterial hypertension associated with another disease	OLS API EFO lookup	fuzzy	check if valid
Maxillary molar that has failed to erupt because of obstruction by another tooth	http://www.ebi.ac.uk/efo/EFO_0009193	Pulmonary arterial hypertension associated with another disease	OLS API EFO lookup	fuzzy	check if valid
Mandibular prognathia AND surgery (LeFortI or BSSO or LeFortI AND BSSO)					
Mandibular retrognathia AND surgery (BSSO)					
Oesophagitis	http://purl.obolibrary.org/obo/HP_0100633	Oesophagitis	Zooma API lookup	match	
Oesophageal obstruction	http://www.ebi.ac.uk/efo/EFO_1000908	duodenal obstruction	OLS API EFO lookup	fuzzy	check if valid
Diseases of oesophagus, stomach and duodenum					
Ulcer of oesophagus					
Open bite	http://www.ebi.ac.uk/efo/EFO_0008376	mosquito bite measurement	OLS API EFO lookup	fuzzy	check if valid
Diseases of oral cavity, salivary glands and jaws					
Cysts of oral region, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0003868	"""Cysts of oral region, not elsewhere classified"""	Zooma API lookup	match	
Other and unspecified abdominal hernia	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other diseases of anus and rectum	http://www.ebi.ac.uk/efo/EFO_0009685	Other diseases of anus and rectum	Zooma API lookup	match	
Other diseases of appendix	http://www.ebi.ac.uk/efo/EFO_0009542	Other diseases of appendix	Zooma API lookup	match	
Other diseases of the digestive system					
Other diseases of oesophagus					
Other diseases of stomach and duodenum					
Other noninfective gastroenteritis and colitis	http://www.ebi.ac.uk/efo/EFO_1001463	gastroenteritis	OLS API EFO lookup	fuzzy	check if valid
Other functional intestinal disroders					
Other gastritis (incl. Duodenitis)	http://www.ebi.ac.uk/efo/EFO_0000217	gastritis	OLS API EFO lookup	fuzzy	check if valid
Other or unspecified ileus, impaction or obstruction	http://purl.obolibrary.org/obo/MONDO_0004567	ileus	OLS API EFO lookup	fuzzy	check if valid
Other inflammatory liver diseases	http://www.ebi.ac.uk/efo/EFO_0001421	Other inflammatory liver diseases	Zooma API lookup	match	
Other diseases of intestine	http://www.ebi.ac.uk/efo/EFO_0009431	Other diseases of intestine	Zooma API lookup	match	
Other diseases of peritoneum					
Overjet					
Other diseases of pancreas	http://www.ebi.ac.uk/efo/EFO_0009605	Other diseases of pancreas	Zooma API lookup	match	
Paralytic ileus	http://purl.obolibrary.org/obo/HP_0002590	Paralytic ileus	OLS API EFO lookup	match	
Acute periodontitis	http://www.ebi.ac.uk/efo/EFO_0000649	periodontitis	OLS API EFO lookup	fuzzy	check if valid
Chronic periodontitis	http://www.ebi.ac.uk/efo/EFO_0006343	chronic periodontitis	EFO OBO	match	
Diseases of peritoneum					
Acute peritonitis					
Postprocedural disorders of digestive system, not elsewhere classified					
Colitis, primary sclerosing	http://www.ebi.ac.uk/efo/EFO_0004268	sclerosing cholangitis	OLS API EFO lookup	fuzzy	check if valid
Colitis, primary sclerosing, strict definition	http://www.ebi.ac.uk/efo/EFO_0004268	sclerosing cholangitis	OLS API EFO lookup	fuzzy	check if valid
Peptic ulcer	http://purl.obolibrary.org/obo/MONDO_0004247	peptic ulcer disease	EFO OBO	match	
Diseases of pulp and periapical tissues	http://www.ebi.ac.uk/efo/EFO_0009540	Diseases of pulp and periapical tissues	Zooma API lookup	match	
Gastro-oesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0003948	Gastro oesophageal reflux disease	Zooma API lookup	match	
KELA_REIMBURSEMENT_202					
Maxillary retrognathism	http://www.ebi.ac.uk/efo/EFO_0007361	maxillary sinusitis	OLS API EFO lookup	fuzzy	check if valid
Diseases of salivary glands	http://www.orpha.net/ORDO/Orphanet_86815	Aplasia of lacrimal and salivary glands	OLS API EFO lookup	fuzzy	check if valid
Stomatitis and related lesions					
Intestinal stricture	http://www.ebi.ac.uk/efo/EFO_0006818	stricture	OLS API EFO lookup	fuzzy	check if valid
Other diseases of hard tissues of teeth	http://purl.obolibrary.org/obo/MONDO_0002220	tooth hard tissue disease	OLS API EFO lookup	fuzzy	check if valid
Diseases of tongue					
Disorders of tooth development and eruption	http://www.ebi.ac.uk/efo/EFO_0005410	Disorders of tooth development and eruption	Zooma API lookup	match	
Toxic liver disease	http://www.ebi.ac.uk/efo/EFO_0004228	drug-induced liver injury	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis (strict definition, all Crohn cases excluded)	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis (strict definition, require KELA)	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis (strict definition, require KELA, min 2 HDR)	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis (strict) with PSC	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	EFO OBO	match	
Umbilical hernia	http://purl.obolibrary.org/obo/HP_0001537	umbilical hernia	Zooma API lookup	match	
Vascular disorders of the intestines	http://purl.obolibrary.org/obo/MONDO_0003159	vascular hemostatic disease	OLS API EFO lookup	fuzzy	check if valid
Ventral hernia	http://www.ebi.ac.uk/efo/EFO_1001866	ventral hernia	EFO OBO	match	
Volvulus	http://www.ebi.ac.uk/efo/EFO_1000989	intestinal volvulus	OLS API EFO lookup	match	
Diabetes, insuline treatment (Kela reimbursement)	http://www.ebi.ac.uk/efo/EFO_0004996	type 1 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Diabetes, insuline treatment (Kela reimbursement) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Gonarthrosis [arthrosis of knee](FG)					
Alcohol abuse, main dg	http://purl.obolibrary.org/obo/MONDO_0002046	alcohol abuse	OLS API EFO lookup	fuzzy	check if valid
Alcohol abuse, main dg (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0002046	alcohol abuse	OLS API EFO lookup	fuzzy	check if valid
Anxiety disorders	http://www.ebi.ac.uk/efo/EFO_0006788	anxiety disorder	EFO OBO	match	
Anxiety disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0006788	anxiety disorder	OLS API EFO lookup	fuzzy	check if valid
Any mental disorder	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders	http://www.ebi.ac.uk/efo/EFO_0010642	Neurodevelopmental disorder	OLS API EFO lookup	fuzzy	check if valid
Autism spe	http://www.ebi.ac.uk/efo/EFO_0003758	autism	OLS API EFO lookup	fuzzy	check if valid
Autism spe (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0003758	autism	OLS API EFO lookup	fuzzy	check if valid
Behavioural disorders	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Behavioural disorders (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Emotional disorders starting during childhood or adolecense	http://www.ebi.ac.uk/efo/EFO_0007663	childhood aggressive behaviour measurement	OLS API EFO lookup	fuzzy	check if valid
Emotional disorders starting during childhood or adolecense (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0007663	childhood aggressive behaviour measurement	OLS API EFO lookup	fuzzy	check if valid
Social disorders starting during childhood or adolecense	http://www.ebi.ac.uk/efo/EFO_0007663	childhood aggressive behaviour measurement	OLS API EFO lookup	fuzzy	check if valid
Social disorders starting during childhood or adolecense (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0007663	childhood aggressive behaviour measurement	OLS API EFO lookup	fuzzy	check if valid
Mixed disorders of conduct and emotions (more controls excluded)					
Any dementia	http://purl.obolibrary.org/obo/HP_0000726	Dementia	OLS API EFO lookup	fuzzy	check if valid
