AB1_AMOEBIASIS	Amoebiasis
DM_EYE_OPER_REMOVAL_VITR_VIAPARSPLIC	Removal of vitreous/Extensive procedure in removing vitreous via pars plana/pars plicata
DM_EYE_OPER_VEGF_INJECT_VITR	Injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body
DM_EYE_OPER_VITR_RETINA_COMB	Combined vitreous and retina operation
DM_HYPOGLYC	Diabetic hypoglycemia
DM_IBD	"Diabetes 1 & 2, IBD co-morbidity"
DM_KETOACIDOSIS	Diabetic ketoacidosis
DM_KIDNEYFAIL	"Diabetes, kidney failure"
DM_KIDNEYTRANSPLANT	"Kidney transplantation, related to diabetes"
DM_MACULOPATHY	Diabetic maculopathy
DM_MACULOPATHY_EXMORE	Diabetic maculopathy (more controls excluded)
DM_NEOVASCULAR_GLAUCOMA	Neovascular glaucoma
DM_NEPHORAPATHY_OPER	Diabetic nephropathy with related operations
DM_NEPHROPATHY	Diabetic nephropathy
DM_NEPHROPATHY_EXMORE	Diabetic nephropathy (more controls excluded)
DM_NEUROPATHY	Diabetic neuropathy
DM_OPTHALMIC_COMORB	"Diabetes, opthalmic co-morbidities"
DM_OTHER_WIDE	"Other diabetes, wide definition"
DM_PERIPHATHERO	Peripheral atherosclerosis
DM_PERIPH_ANGIOPATHY	Peripheral angiopathy
DM_POLYNEURO	Diabetic polyneuropathy
DM_RETINA_NOS	Unspecified diabetic retinopathy
DM_RETINA_PROLIF	Proliferative diabetic retinopathy
DM_RETINA_PROLIF_NOS_ET_OPER	Proliferative diabetic retinopathy (Unspecified diabetic retinopathy + operation)
DM_RETINOPATHY	Diabetic retinopathy
DM_RETINOPATHY_EXMORE	Diabetic retinopathy (more controls excluded)
DM_RET_ART_OCCLU_BRANCH	Retinal artery occlusion (branch)
DM_RET_VEIN_OCCLU	Retinal vein occlusion (central or branch)
DM_SEVERAL_COMPLICATIONS	"Diabetes, several complications"
DM_VITREOUS_BLEEDING	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)
DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY	Drug-induced adrenocortical insufficiency
DRUGADVERS_CATAR	Drug-induced cataract
DRUGADVERS_NEUTROPENIA	Drug-induced neutropenia
DRUGADVERS_OSTEOPO	Drug-induced osteoporosis
DRUGADVERS_SYSTEMIC_LUPUS_ERYTHEMAT	Drug-induced systemic lupus erythematosus
DRUGADVERS_TREMOR	Drug-induced tremor
DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)
E4_ACIDOSIS	Acidosis
E4_ACROMEG	Acromegaly and pituitary gigantism
E4_ADDISON	Adrenocortical insufficiency
E4_ADRENAL	Other disorders of adrenal gland
E4_AMYLNAS	"Amyloidosis, other/unspecified"
E4_AMYLOIDOSIS	Amyloidosis
E4_CARCISDR	Carcinoid syndrome
E4_CA_MET	Disorders of calcium metabolism
E4_CONGEIOD	Congenital iodine-deficiency syndrome/hypothyroidism
E4_CUSHING	Cushing syndrome
E4_DELPUB	Delayed puberty
E4_DIABETES	Diabetes mellitus
E4_DIABINSIPIDUS	Diabetes insipidus
E4_DISPUB	Disorders of puberty
E4_DM1	Type 1 diabetes
E4_DM1COMA	Type 1 diabetes with coma
E4_DM1KETO	Type 1 diabetes with ketoacidosis
E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications
E4_DM1NEU	Type 1 diabetes with neurological complications
E4_DM1NOCOMP	Type 1 diabetes without complications
E4_DM1OPTH	Type 1 diabetes with ophthalmic complications
E4_DM1PERIPH	Type 1 diabetes with peripheral circulatory complications
E4_DM1REN	Type 1 diabetes with renal complications
E4_DM1_STRICT	"Type 1 diabetes, strict (exclude DM2)"
E4_DM2	Type 2 diabetes
E4_DM2COMA	Type 2 diabetes with coma
E4_DM2KETO	Type 2 diabetes with ketoacidosis
E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications
E4_DM2NEU	Type 2 diabetes with neurological complications
E4_DM2NOCOMP	Type 2 diabetes without complications
E4_DM2OPTH	Type 2 diabetes with ophthalmic complications
E4_DM2PERIPH	Type 2 diabetes with peripheral circulatory complications
E4_DM2REN	Type 2 diabetes with renal complications
E4_DM2_STRICT	"Type 2 diabetes, strict (exclude DM1)"
E4_DMICD8	"Diabetes, unspecified because of ICD-8"
E4_DMNAS	Unspecified diabetes
E4_DMNASKETO	Unspecified diabetes with ketoacidosis
E4_DMNASNASCOMP	Unspecified diabetes with multiple/unspecified complications
E4_DMNASNOCOMP	Unspecified diabetes without complications
E4_ENDODIS	Other endocrine disorders
E4_ENDODISNAS	"Endocrine disorders, other/unspecified"
E4_ENDOGLAND	Disorders of other endocrine glands
E4_ENDOMETPOSTOP	"Postprocedural endocrine and metabolic disorders, not elsewhere classified"
E4_ENDONUTRMET	"Endocrine, nutritional and metabolic diseases"
E4_FLUIDELECTRO	"Other disorders of fluid, electrolyte and acid-base balance"
E4_FLUIDELECTRONAS	"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E4_GILBERT	Gilbert syndrome
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion
E4_GOITREDIFF	Nontoxic diffuse goitre
E4_GOITREMULTINOD	Nontoxic multinodular goitre
E4_GOITRENAS	Other and/or unspecified nontoxic goitre
E4_GOITRENOD	Nontoxic single thyroid nodule
E4_HYPERALDO	Hyperaldosteronism
E4_HYPERCHOL	Pure hypercholesterolaemia
E4_HYPERGLYCER	Pure hyperglyceridaemia
E4_HYPERKALAEMIA	Hyperkalaemia
E4_HYPERLIPMIX	Mixed hyperlipidaemia
E4_HYPERLIPNAS	"Hyperlipidaemia, other/unspecified"
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia
E4_HYPERPARA	Hyperparathyroidism
E4_HYPERPIT	Hyperfunction of pituitary gland
E4_HYPERPRO	Hyperprolactinaemia
E4_HYPERPRO_ADVERSE	"Hyperprolactinaemia, drug-induced"
E4_HYPODRUG	Drug-induced hypoglycaemia without coma
E4_HYPOGLYC	"Hypoglycaemia, other or unspecified"
E4_HYPOKALAEMIA	Hypokalaemia
E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia
E4_HYPOPARA	Hypoparathyroidism
E4_HYPOPIT	Hypopituitarism
E4_HYTHYNAS	"Hypothyroidism,  other/unspecified"
E4_HYTHYPOSTINF	Postinfectious hypothyroidism
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances
E4_HYTHY_AI_STRICT	"Hypothyroidism, strict autoimmune"
E4_HYTHY_AI_STRICT_PURCH	"Hypothyroidism, strict autoimmune, 3 medication purchases required"
E4_IRON_MET	Disorders of iron metabolism
E4_LACTONAS	"Lactose intolerance, other/unspecified"
E4_LACTOSEINT	Lactose intolerance
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias
E4_LIPOPROTNAS	"Disorder of lipoprotein metabolism, unspecified"
E4_MALNUTRITION	Malnutrition
E4_METABO	Other metabolic disorders
E4_METABOLIA	Metabolic disorders
E4_MINERAL_MET	Disorders of mineral metabolism
E4_NUTRIDEF	Other nutritional deficiencies
E4_NUTRI_DEF_NAS	Other specified/unspecified nutritional deficiencies
E4_OBESITY	Obesity
E4_OBESITYCAL	Obesity due to excess calories
E4_OBESITYDRUG	Drug-induced obesity
E4_OBESITYNAS	"Obesity, other/unspecified"
E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation
E4_OBESITY_HYPER	Obesity and other hyperalimentation
E4_OVARDYS	Ovarian dysfunction
E4_OVARFAIL	Primary ovarian failure
E4_PANCSECNAS	"Disorder of pancreatic internal secretion, other and/or unspecified"
E4_PARANAS	"Disorders of parathyroid gland, other and/or unspecified"
E4_PARATHYRO	Disorders of parathyroid gland
E4_PITUDISNAS	"Disorders of pituitary gland, other and/or unspecified"
E4_PLASMAPROT	"Disorders of plasma-protein metabolism, not elsewhere classified"
E4_POCS	Polycystic ovarian syndrome
E4_PORBILIR	Disorders of porphyrin and bilirubin metabolism
E4_SHORT	"Short stature, not elsewhere classified"
E4_TESTICHYPO	Testicular hypofunction
E4_TESTIDYS	Testicular dysfunction
E4_THYROID	Disorders of the thyroid gland
E4_THYROIDITAUTOIM	Autoimmune thyroiditis
E4_THYROIDITNAS	"Thyroiditis, unspecified"
E4_THYROIDITSUBAC	Subacute thyroiditis
E4_THYROIDNASOTH	"Disorder of thyroid, unspecified"
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitre
E4_THYTOXGOITMULT	Thyrotoxicosis with toxic multinodular goitre
E4_THYTOXNAS	"Thyrotoxicosis, other and/or unspecified"
E4_THYTOXNOD	Thyrotoxicosis with toxic single thyroid nodule
E4_VIT_B_DEF	Deficiency of other B group vitamins
E4_VIT_DEF	Vitamin deficiency
E4_VIT_D_DEF	Vitamin D deficiency
E4_VOLUME	Volume depletion
ENCEPHALITIS	Encephalitis
EPISEIZALCO	Epileptic seizures related to alcohol
ERECTILE_DYSFUNCTION	Erectile dysfunction
ESOSINOPHIL_DISEASE	Eosinophilic disease (BM)
ETMOIDECTOMY	Etmoidectomy
F5_ADHD	Disturbance of activity and attention
F5_ALCOHOL	Mental and behavioural disorders due to alcohol
F5_ALCOHOLAC	Acute alcohol intoxication
F5_ALCOHOL_DEPENDENCE	Alcohol dependence
F5_ALLANXIOUS	All anxiety disorders
F5_ALZHDEMENT	Dementia in Alzheimer disease
F5_ANAPER	Anankastic personality disorder
F5_ANOREX	Anorexia (incl.atypical)
F5_ANXIETY	Other anxiety disorders
F5_ANXPER	Anxious personality disorder
F5_AUTISM	Autism
F5_BEHAVE	Behavioural syndromes associated with physiological disturbances and physical factors
F5_BEHEMOCHILD	Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence
F5_BEHEMOTH	Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence
F5_BIPO	Bipolar affective disorders
F5_BULIMIA	Bulimia nervosa (incl. atypical)
F5_CANNABIS	Mental and behavioural disorders due to cannabinoids
F5_CONDUCT	Conduct disorder
F5_CONDUCTEMO	Mixed disorders of conduct and emotions
F5_DELIRIUM	"Delirium, not induced by alcohol and other psychoactive substances"
F5_DELUSIO	Persistent delusional disorders
F5_DEMENTIA	Dementia
F5_DEMENTIA_INCLAVO	"Dementia, including avohilmo"
F5_DEMINOTH	Dementia in other diseases classified elsewhere
F5_DEMNAS	Unspecified dementia
F5_DEPPER	Dependent personality disorder
F5_DEPRESSIO	Depression
F5_DISPER	Dissocial personality disorder
F5_DISSOCIATIVE	Dissociative [conversion] disorders
F5_Dementia_U	Undefined dementia
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)
F5_EATING	Eating disorders
F5_EATOTH	Other eating disorders
F5_EMOCHILD	Emotional disorders and disorders of social functioning with onset specific to childhood
F5_EMOPER	Emotionally unstable personality disorder
F5_GAD	Generalized anxiety disorder
F5_GENDER	Gender identity disorders
F5_HABIT	Habit and impulse disorders
F5_HALLUCIN	Mental and behavioural disorders due to hallucinogens
F5_HISPER	Histrionic personality disorder
F5_HYPERKIN	Hyperkinetic disorders (excl. ADHD)
F5_HYPERSOMNIA	Hypersomnia
F5_INSOMNIA	Insomnia
F5_KELAMENT	Kela-cod for severe mental illness
F5_KELARET	Kela-code for behavioural disturbances in mental retardation
F5_MANIA	Manic episode
F5_MENTALUNSPE	"Mental disorders, not otherwise specified"
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease
F5_MENTPUER	Mental and behauvioural disorders associated with the puerperium
F5_MENTRET	Mental retardation
F5_MILDRET	Mild mental retardation
F5_MIXEDDEV	Mixed specific developmental disorders
F5_MIXPER	Mixed and other personality disorders
F5_MODRET	Moderate mental retardation
F5_MOOD	Mood [affective] disorders
F5_MOODOTH	Other and unspecidied mood [affective] disorders
F5_MOTOR	Specific developmental disorder of motor function
F5_NEUROTIC	"Neurotic, stress-related and somatoform disorders"
F5_NEUROTICOTH	Other neurotic disorders
F5_OCD	Obsessive-compulsive disorder
F5_OPIOIDS	Mental and behavioural disorders due to opioids
F5_ORGANIC	"Organic, including symptomatic, mental disorders"
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances
F5_OTHPER	Other specified and unspecified personality disorders
F5_OTHRET	Other and unspecified mental retardation
F5_PANIC	Panic disorder
F5_PARAPER	Paranoid personality disorder
F5_PERSBEHORG	"Personality and behavioural disorders due to brain disease, damage and dysfunction"
F5_PERSMOOD	Persistent mood disorders
F5_PERSOBEH	Disorders of adult personality and behaviour
F5_PERSONALITY	Specific personality disorders
F5_PERSOTH	Other and unspecified disorders of adult personality and behauviour
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger
F5_PHOBANX	Phobic anxiety disorders
F5_PHYSBEHOTH	Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere
F5_PSYCH	Psychiatric diseases
F5_PSYCHDEV	Disorders of psychological developtment
F5_PSYCHDEVOTH	Other and unspecified disorders of psychological development
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders
F5_PSYTRANS	Acute and transient psychotic disorders
F5_PTSD	Post-traumatic stress disorder
F5_SCHIZO	"Schizophrenia, schizotypal and delusional disorders"
F5_SCHIZOAFF	Schizoaffective disorder
F5_SCHIZOTYP	Schizotypal disorder
F5_SCHIZPER	Schizoid personality disorder
F5_SCHOLA	Specific development disorders of scholastic skills
F5_SCHZPHR	Schizophrenia
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics
F5_SEXDYS	Sexual dysfunction
F5_SLEEP	Sleep disorders
F5_SLEEPWAKE	Disorder of the sleep-wake schedule
F5_SLEEP_NOS	"Sleep disorders, other/unspeficied"
F5_SOMATOFORM	Somatoform disorder
F5_SPEECH	Specific development disorders of speech and language
F5_STIMUL	"Mental and behavioural disorders due to use of other stimulants, including caffeine"
F5_STRESSOTH	"Other reactioin to severe stress, and adjustment disorders"
F5_SUBSNOALCO	"Substance use, excluding alcohol"
F5_SUBSTANCE	Mental and behavioural disorders due to psychoctive substance use
F5_TIC	Tic disorders
F5_TOBAC	Mental and behavioural disorders due to tobacco
F5_UNSMENDIS	Unspecified mental disorder
F5_VASCDEM	Vascular dementia
FALLS	Falls/tendenct to fall
FE	Focal epilepsy
FEMHER_UNILATERAL	"Femoral hernia, unilateral"
FEMINGHER_BILATERAL	"Inguinal or femoral hernia, bilateral"
FEMNINGHER_UNILATERAL	"Inguinal of femoral hernia, unilateral"
FESS	FESS (DNB20)
FE_MODE	"Focal epilepsy, mode (most common among epilepsy diagnosis)"
FE_STRICT	"Focal epilepsy, strict definition"
FG_CARDMYO	Cardiomyopathy (excluding other)
FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)
FG_DISVEINLYMPH	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)"
FG_DOAAC	"Diseases of arteries, arterioles and capillaries (FINNGEN)"
FG_HYPERTENSION	Hypertensive diseases (excluding secondary)
FG_OTH	Other CVD (FINNGEN)
FG_OTHHEART	Other heart diseases
FG_PULMHEART	Pulmonary heart disease
FIBRO_COMORB	Fibromyalgia related co-morbidities
G6_AD_WIDE	"AlzheimerÕs disease, wide definition"
G6_AD_WIDE_EXMORE	"AlzheimerÕs disease, wide definition" (more controls excluded)
G6_ALCODEGEN	Degeneration of the brain due to alcohol
G6_ALCOPOLY	Alcohol induced polyneuropathy
G6_ALS	Motor neuron disease
G6_ALZHEIMER	Alzheimer disease
G6_ALZHEIMER_EXMORE	Alzheimer disease (more controls excluded)
G6_ALZHEIMER_INCLAVO	"Alzheimer disease, including avohilmo"
G6_ANOXBRAINDAM	Anoxic brain damage
G6_ATROPHCIRCUM	Circumscribed brain atrophy
G6_ATYFAC	Atypical facial pain
G6_AUTONOM	Autonomic disorders
G6_BASDEGENOTH	Other degenarative diseases of the basal ganglia
G6_BELLPA	Bell's palsy
G6_BENINTRAHYP	Benign intracranial hypertension
G6_BRACHPLE	Brachial plexus disorders
G6_CARPTU	Carpal tunnel syndrome
G6_CAUDA	Cauda equina syndrome
G6_CAUSALGIA	Causalgia
G6_CERCYST	Cerebral cysts
G6_CERVROOT	Cervical root disorders
G6_CNSABSC	Intracranial and intraspinal abscess and granuloma
G6_CNSOTH	Other disorders of central nervous system
G6_CP	Cerebral palsy
G6_CPETAL	Cerebral palsy and other paralytic syndromes
G6_DEGENOTH	Other and unspecified degenerative diseases of nervous system
G6_DEMYEL	Demyelenating diseases of the central nervous system
G6_DIABETNEUR	Diabethic neuropathy
G6_DISBROTHUNS	"Disorders of brain, other and unspecified"
G6_DISOTHUNS	Disorders of other and unspecified cranial nerves
G6_DISSOTH	Other acute disseminated demyelination
G6_DRUGPOLY	Drug-induced polyneuropathy
G6_DYSTON	Dystonia
G6_ENCEPATH	Encephalopathy
G6_ENCEPHOTH	Other encephalitis
G6_EPIPAROX	Episodal and paroxysmal disorders
G6_EPLEPSY	Epilepsy
G6_FACOTH	Other facial nerve disorders
G6_FEMLAPOP	Lesion of lateral popliteal nerve
G6_FEMLE	Lesion of femoral nerve
G6_GUILBAR	Guillain-Barre syndrome
G6_HCCOMM	Communicating hydrocephalus
G6_HCNP	Normal-pressure hydrocephalus
G6_HCOBSTR	Obstructive hydrocephalus
G6_HCOTHUNS	Other and unspecified hydrocephalus
G6_HEADACHE	Other headache syndromes
G6_HEMIPLE	Hemiplegia
G6_HERATAXIA	Hereditary ataxia
G6_HEREMOSEN	Hereditary monor and sensory neuropathy
G6_HORNER	Horner syndrome
G6_HYDROCEPH	Hydrocephalus
G6_ICNEUROP	Intercostal neuropathy
G6_LSROOT	"Lumbosacral root disorders, not elsewhere classified"
G6_MEDLEOTH	Other lesions of median nerve
G6_MENINGBACT	Bacterial meningitis
G6_MENINGOTH	Other meningitis
G6_MERALGIA	Meralgia paraesthetica
G6_MIGRAINE	Migraine
G6_MIGRAINE_NO_AURA	Migraine without aura
G6_MIGRAINE_NO_AURA_ADVERSE	"Migraine without aura, drug-induced"
G6_MIGRAINE_NO_AURA_TRIPTAN	Migraine without aura and triptan purchases
G6_MIGRAINE_WITH_AURA	Migraine with aura
G6_MIGRAINE_WITH_AURA_ADVERSE	"Migraine with aura, drug-induced"
G6_MIGRAINE_WITH_AURA_TRIPTAN	Migraine with aura and triptan purchases
G6_MONOLOWOTHUNS	Other and unspecified mononeuropathies of lower limb
G6_MONONPOTHUS	Other and unspecified mononeuropathies of upper limb
G6_MONOOTHUNS	"Other and unsepcified mononeuropathies, also in other diseases"
G6_MONOPLE	Monoplegia
G6_MS	MS-disease / Multiple Sclerosis
G6_MUSCOTHUNS	Other and unspecified primary disorders of muscles
G6_MUSDYST	Muscular dystrophy
G6_MYASTHENIA	Myasthenia gravis
G6_MYOMUSCINOTH	Disorders of myonerural junction and muscle in diseases in classifeid elsewhere
G6_MYONEU	Diseases of the myoneural junction and muscle
G6_MYOPOTHUNS	Other and unspecified myopathies
G6_MYOTDIS	Mytonic disorders
G6_NARCOCATA	Narcolepsy and cataplexy
G6_NERPLEX	"Nerve, nerve root and plexus disorders"
G6_NEUATR	Systemic atrophies primarly affecting the central nervous system
G6_NEUINFL	Inflammatory diseases of the central nervous system
G6_NEURO	Neurological diseases
G6_NEURODEG	Other degenerative diseases of the nervous system
G6_NEUROOTH	Other disorders of nervous system
G6_OTHDEMYEL	Other demyelinating diseases of the central nervous system
G6_OTHNEU	Other neurological diseases
G6_PARALOTHUNS	Other and unspecified paralytic syndromes
G6_PARDIPLE	"Paraplegia, diplegia of upper limbs"
G6_PARKINSON	Parkinson's disease
G6_PARKINSON_EXMORE	Parkinson's disease (more controls excluded)
G6_PARKINSON_INCLAVO	"Parkinson's disease, including avohilmo"
G6_PARKSCND	Secondary parkinsonism+Parkinsonism in other disease
G6_PLANTAR	Lesion of plantar nerve
G6_POLYNEU	Polyneuropathies and other disorders of the peripheral nervous system
G6_POLYOTHUNS	"Other and unspecified polyneuropathies, also in other diseases"
G6_POSTOPNEURO	Postprocedural disorders of nervous system
G6_POSTZOST	Postzoster neuralgia
G6_RADLES	Lesion of radial nerve
G6_ROOTPLEXOTHUNS	"Other and unspecified nerve root and plexus disorders, also in other diseases"
G6_SCIALE	Lesion of sciatic nerve
G6_SLEEPAPNO	Sleep apnoea
G6_SLEEPAPNO_INCLAVO	"Sleep apnoea, including avohilmo"
G6_SLEEPDISOTH	Other sleepdisorders
G6_SPINAMUSCOTH	Other and unspecified spinal muscular atrophies
G6_SPINOTH	Other diseases of spinal cord
G6_STATUSEPI	Status epilepticus
G6_TARSTUN	Tarsal tunnel syndrome
G6_TETRAPLE	Tetraplegia
G6_TIA	Transient ischemic attack
G6_TRINEU	Trigeminal neuralgia
G6_TRIOTHUNS	Other and unspecified trigeminal disorders
G6_ULLNLE	Lesion of ulnar nerve
G6_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders
G6_XTRAPYR	Extrapyramidal and movement disorders
G6_XTRAPYROTH	Other extrapyramidal and movement disorders+ in other diseases
GASTRO_OPERATIONS	GASTRO-related operations
GAST_OPER	Any gastric operation
GE	Generalized epilepsy
GENERALI_SKIN_ERUPT_DRUGS_MEDICAM	Generalized skin eruption due to drugs and medicaments
GEST_DIABETES	Gestational diabetes (for exclusion)
GE_MODE	"Generalized epilepsy, mode (most common among epilepsy diagnosis)"
GE_STRICT	"Generalized epilepsy, strict definition"
GIANT_CELL_TEMP_ARTERITIS	Giant cell arteritis with polymyalgia rheumatica
GLOMER_NEPHRITIS	Glomerulonephritis
GOUT	"Gout, FINNGEN"
GOUT_COMORB	Gout-related co-morbidities
GOUT_IDIO	Idiopathic gout
GOUT_IDIOP_NOS	"Gout, strict definition"
GOUT_KIDNEY	Gout due to impairment of renal function
GOUT_NOS	"Gout, unspecified"
GOUT_STRICT	"Gout, strict definition"
H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis
H7_AMBLYANOPSIA	Amblyopia ex anopsia
H7_AMD	Age-related macular degeneration (whether dry or wet)
H7_ANISOMETROPIA	Anisometropia and aniseikonia
H7_ANOMAPUPFUNC	Anomalies of pupillary function
H7_APHAKIA	Aphakia
H7_ASTIGMATISM	Astigmatism
H7_BCKRNDRETINOPAT	Background retinopathy and retinal vascular changes
H7_BINOCUMOVOTH	Other disorders of binocular movement
H7_BINODISTOTH	Other disorders of binocular vision
H7_BLEPHAROCHALASIS	Blepharochalasis
H7_BLINDANDVISIMPAIRMENT	Visual impairment including blindness (binocular or monocular)
H7_BLINDMONOCULAR	"Blindness, monocular"
H7_BULLKERATOPATHY	Bullous keratopathy
H7_CATARACTOTHER	Other cataract
H7_CATARACTSENILE	Senile cataract
H7_CENTRRETARTOCC	Central retinal artery occlusion
H7_CHALAZION	Chalazion
H7_CHORIORETINFLAM	Chorioretinal inflammation
H7_CHOROIDOTH	Other disorders of choroid
H7_CHOROIDRETINA	Disorders of choroid and retina
H7_CONJUHAEMOR	conjunctival haemorrhage
H7_CONJUNAS	Other specified and unspecified disorders of conjunctiva
H7_CONJUNCTDEGDEPOT	conjunctival degenerations and deposits
H7_CONJUNCTIVA	Disorders of conjunctiva
H7_CONJUNCTIVITIS	Conjunctivitis
H7_CONJUNCTIVITISACUNONATOPIC	"Conjunctivitis (acute, non atopic)"
H7_CONJUNCTIVITISATOPIC	Atopic conjunctivitis
H7_CONJUNCTIVITISCHRON	Chronic conjunctivitis
H7_CONJUVASC	Other conjunctival vascular disorders and cysts
H7_CONVERGINSUFF	Convergence insufficiency and excess
H7_CONVERSTRAB	Convergent concomitant strabismus
H7_CORNEALDEFORM	Keratoconus
H7_CORNEALDYSTROPHY	Corneal degeneration
H7_CORNEALNAS	Other and unspecified corneal deformities and disorders
H7_CORNEALOTH	Other disorders of cornea
H7_CORNEALSCAR	Corneal scars and opacities
H7_CORNULCER	Corneal ulcer
H7_DACRYOADENITIS	Dacryoadenitis
H7_DIPLOPIA	Diplopia
H7_DISORDERLENSNAS	Other specified and unspecified disorders of lens
H7_DIVERGSTRAB	Divergent concomitant strabismus
H7_ECTROPION	Ectropion of eyelid
H7_ENTROPION	Entropion and trichiasis of eyelid
H7_EPIPHORA	Epiphora
H7_EPISCLERITIS	Episcleritis
H7_EXOPTHALMUS	Exophthalmic conditions
H7_EYE	Diseases of the eye and adnexa
H7_EYEADNEXOTH	Other specified and unspecified disorders of eye and adnexa
H7_EYELIDDIS	Other disorders of eyelid
H7_EYELIDINFLAMMATION	Other inflammation of eyelid
H7_EYELIDINOTH	Disorders of eyelid in diseases classified elsewhere
H7_EYELIDNAS	Other specified and unspecified  disorders of eyelid
H7_EYEOTH	Other disorders of eye and adnexa
H7_GLAUCCLOSEPRIM	Primary angle-closure glaucoma
H7_GLAUCNAS	Other and unspecified glaucoma
H7_GLAUCOMA	Glaucoma
H7_GLAUCOMAMEDICATION	Use of antiglaucoma preparations and miotics
H7_GLAUCOMA_NTG	Normotensive glaucoma
H7_GLAUCOMA_OPER	Glucoma-related operations
H7_GLAUCOMA_POAG	"Primary open-angle glaucoma, strict"
H7_GLAUCOMA_XFG	"Glaucoma, exfoliation"
H7_GLAUCPRIMOPEN	Primary open-angle glaucoma
H7_GLAUCSECDISEASE	Glaucoma secondary to other eye disorders
H7_GLAUCSECINFLAM	Glaucoma secondary to eye inflammation
H7_GLAUCSECTRAUMA	Glaucoma secondary to eye trauma
H7_GLAUCSUSP	Glaucoma suspect
H7_GLOBE	Disorders of globe
H7_GLOBEDEGENERATED	Degenerated conditions of globe
H7_HEREDRETINADYST	Hereditary retinal dystrophy
H7_HERPESKERATITIS	Herpesviral keratitis and keratoconjunctivitis
H7_HETEROPHORIA	Heterophoria
H7_HORDEOLUM	Hordeolum and other deep inflammation of eyelid
H7_HYPERMETRO	Hypermetropia
H7_INTERHETEROTRO	Intermittent heterotropia
H7_IRIDOACUTE	Acute and subacute iridocyclitis
H7_IRIDOCHRONIC	Chronic iridocyclitis
H7_IRIDOCYCLITIS	Iridocyclitis
H7_IRIDOCYCLITISINOTH	Iridocyclitis in diseases classified elsewhere
H7_IRIDONAS	Other and unspecified iridocyclitis
H7_KERATITIS	Keratitis
H7_KERATITISINOTH	Keratitis and keratoconjunctivitis in other diseases classified elsewhere
H7_KERATITISOTH	Other keratitis
H7_KERATOCONUS	Hereditary corneal dystrophies
H7_LACRIGLAND	Other disorders of lacrimal gland
H7_LACRIMALORBITINOTH	Disorders of lacrimal system and orbit in diseases classified elsewhere
H7_LACRIMALSYSTEM	Disorders of lacrimal system
H7_LACRIMINFLAMACU	Inflammation of lacrimal passages (acute and unspecified)
H7_LACRIMINFLAMCHRON	Inflammation of lacrimal passages (chronic)
H7_LAGOPHTALMOS	Lagophthalmos
H7_LENS	Disorders of lens
H7_LENSDISLOCATIO	Dislocation of lens
H7_LIDLACRIMALORBIT	"Disorders of eyelid, lacrimal system and orbit"
H7_MACULADEGEN	Degeneration of macula and posterior pole
H7_MACULOPATHYDIAB	Diabetic maculopathy
H7_MODVISIMPBINOC	"Moderate visual impairment, binocular"
H7_MYOPIA	Myopia
H7_NYSTAGMUS	Nystagmus and other irregular eye movements
H7_OCUMUSCLE	"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H7_OCUPAIN	Ocular pain
H7_OPTATROPHY	Optic atrophy
H7_OPTICDISCOTH	Other disorders of optic disc
H7_OPTNERVE	Disorders of optic nerve and visual pathways
H7_OPTNERVNAS	"Disorders of optic nerve, not elsewhere classified"
H7_OPTNEURITIS	Optic neuritis
H7_OPTNEUROTH	Other disorders of optic [2nd] nerve and visual pathways
H7_ORBIT	Disorders of orbit
H7_ORBITINFLAMACU	Acute inflammation of orbit
H7_OTHERCONJ	Other disorders of conjunctiva
