phenocode	name	n_cases	n_controls	path_bucket	path_https
H7_VISUDISTURB	Visual disturbances	5312	171027	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VISUDISTURB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VISUDISTURB.gz
H7_VISUDISTURBSUB	Subjective visual disturbances	2325	171027	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VISUDISTURBSUB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VISUDISTURBSUB.gz
H7_VITRBODYGLOBE	Disorders of vitreous body	5193	171483	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VITRBODYGLOBE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VITRBODYGLOBE.gz
H7_VITREOUS	Disorders of vitreous body and globe	5416	171483	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VITREOUS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VITREOUS.gz
H7_VITRHAEMORR	Vitreous haemorrhage	1030	171483	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VITRHAEMORR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VITRHAEMORR.gz
H7_VITROPACIT	Other vitreous opacities	350	171483	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VITROPACIT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VITROPACIT.gz
H7_VITROTH	Other and unspecified disorders of vitreous body	4089	171483	gs://finngen-public-data-r4/summary_stats/finngen_R4_H7_VITROTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H7_VITROTH.gz
H8_BPV	Benign paroxysmal vertigo	2843	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_BPV.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_BPV.gz
H8_CERUMEN	Impacted cerumen	631	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_CERUMEN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_CERUMEN.gz
H8_CHOLEASTOMA	Cholesteatoma of middle ear	630	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_CHOLEASTOMA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_CHOLEASTOMA.gz
H8_CHRON_SUPOTITIS	Chronic suppurative otitis media	458	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_CHRON_SUPOTITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_CHRON_SUPOTITIS.gz
H8_CONSENHEARINGLOSS	Conductive and sensorineural hearing loss	13319	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_CONSENHEARINGLOSS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_CONSENHEARINGLOSS.gz
H8_EAR	Diseases of the ear and mastoid process	31579	145320	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EAR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EAR.gz
H8_EUSTNAS	Other disorders of Eustachian tube	221	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EUSTNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EUSTNAS.gz
H8_EUSTSALP	Eustachian salpingitis and obstruction	985	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EUSTSALP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EUSTSALP.gz
H8_EXTDISINOTH	Disorder of external ear, unspecified	253	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTDISINOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTDISINOTH.gz
H8_EXTDISNAS	Other specified disorders of external ear	369	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTDISNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTDISNAS.gz
H8_EXTERNAL	Diseases of external ear	3596	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTERNAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTERNAL.gz
H8_EXTOTITIS	Otitis externa	2368	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTOTITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXTOTITIS.gz
H8_EXT_ABSC	Abscess of external ear	179	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_ABSC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_ABSC.gz
H8_EXT_INFNAS	Other infective otitis externa	687	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_INFNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_INFNAS.gz
H8_EXT_NAS	Otitis externa, unspecified	939	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_NAS.gz
H8_EXT_NONINF	Acute otitis externa, noninfective	192	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_NONINF.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_NONINF.gz
H8_EXT_OTH	Other otitis externa (chronic)	666	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_OTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_EXT_OTH.gz
H8_HL_CON_NAS	Conductive hearing loss, unspecified	987	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_CON_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_CON_NAS.gz
H8_HL_IDIOP	Sudden idiopathic hearing loss	1142	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_IDIOP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_IDIOP.gz
H8_HL_MIX_NAS	Mixed conductive and sensorineural hearing loss	1461	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_MIX_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_MIX_NAS.gz
H8_HL_NAS	Other specified/unspecified hearing loss	739	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_NAS.gz
H8_HL_PRESBY	Presbycusis	1253	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_PRESBY.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_PRESBY.gz
H8_HL_SEN_NAS	Sensorineural hearing loss	12250	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_SEN_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_HL_SEN_NAS.gz
H8_INNER	Diseases of inner ear	7153	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_INNER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_INNER.gz
H8_MASTACU	Acute mastoiditis	105	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MASTACU.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MASTACU.gz
H8_MASTCHRON	Chronic mastoiditis	339	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MASTCHRON.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MASTCHRON.gz
H8_MED_SUPP	Suppurative and unspecified otitis media	5507	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MED_SUPP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MED_SUPP.gz
H8_MENIERE	Meniere disease	1202	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MENIERE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MENIERE.gz
H8_MIDDLEADDH	Adhesive middle ear disease	176	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MIDDLEADDH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MIDDLEADDH.gz
H8_MIDDLEMASTOID	Diseases of middle ear and mastoid	9791	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_MIDDLEMASTOID.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_MIDDLEMASTOID.gz
H8_NOISEINNER	Noise effects on inner ear	435	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_NOISEINNER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_NOISEINNER.gz
H8_NONSUPPNAS	Nonsuppurative otitis media	3284	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_NONSUPPNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_NONSUPPNAS.gz
H8_OTALGIA	Otalgia	605	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_OTALGIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_OTALGIA.gz
H8_OTHEREAR	Other disorders of ear	17081	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_OTHEREAR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_OTHEREAR.gz
H8_OTHHEARINGLOSS	Other hearing loss	3082	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_OTHHEARINGLOSS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_OTHHEARINGLOSS.gz
H8_OTIMEDNAS	Otitis media, unspecified	1380	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_OTIMEDNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_OTIMEDNAS.gz
H8_OTOSCLE	Otosclerosis	1071	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_OTOSCLE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_OTOSCLE.gz
H8_PERCHRONDR	Perichondritis of external ear	168	173303	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_PERCHRONDR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_PERCHRONDR.gz
H8_PERFORATION	Perforation of tympanic membrane	1149	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_PERFORATION.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_PERFORATION.gz
H8_PERIPHVERTIGO	Other peripheral vertigo	1055	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_PERIPHVERTIGO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_PERIPHVERTIGO.gz
H8_SUP_ACUTE	Acute suppurative otitis media	3951	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_SUP_ACUTE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_SUP_ACUTE.gz
H8_SUP_OTINAS	Suppurative otitis media, unspecified	308	167108	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_SUP_OTINAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_SUP_OTINAS.gz
H8_TINNITUS	Tinnitus	2739	159818	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_TINNITUS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_TINNITUS.gz
H8_VERTIGO	Disorders of vestibular function (Vertigo)	5667	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_VERTIGO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_VERTIGO.gz
H8_VERTIGOCENT	Vertigo of central origin	154	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_VERTIGOCENT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_VERTIGOCENT.gz
H8_VESTIBNEUR	Vestibular neuronitis	953	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_VESTIBNEUR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_VESTIBNEUR.gz
H8_VESTIFUNCNAS	Other/unspecified disorders of vestibular function	325	169746	gs://finngen-public-data-r4/summary_stats/finngen_R4_H8_VESTIFUNCNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_H8_VESTIFUNCNAS.gz
HEPATITIS_ACUTE_OTHER_VIRAL	Other acute viral hepatitis	131	176187	gs://finngen-public-data-r4/summary_stats/finngen_R4_HEPATITIS_ACUTE_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HEPATITIS_ACUTE_OTHER_VIRAL.gz
HEPATITIS_CHRONIC_VIRAL	Chronic viral hepatitis	556	176187	gs://finngen-public-data-r4/summary_stats/finngen_R4_HEPATITIS_CHRONIC_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HEPATITIS_CHRONIC_VIRAL.gz
HERING_BILATERAL	Inguinal hernia, bilateral	1151	154928	gs://finngen-public-data-r4/summary_stats/finngen_R4_HERING_BILATERAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HERING_BILATERAL.gz
HERING_UNILATERAL	Inguinal hernia, unilateralk	304	154928	gs://finngen-public-data-r4/summary_stats/finngen_R4_HERING_UNILATERAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HERING_UNILATERAL.gz
HYPOTHYROIDISM	Hypothyroidism (congenital or acquired)	20388	50989	gs://finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHYROIDISM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHYROIDISM.gz
HYPOTHY_LEVOTHY	Hypothyroidism, levothyroxin purchases	20171	51060	gs://finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_LEVOTHY.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_LEVOTHY.gz
HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases	20171	50989	gs://finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_PURCHASE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_PURCHASE.gz
HYPOTHY_REIMB	Hypothyroidism, drug reimbursement	5717	51006	gs://finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_HYPOTHY_REIMB.gz
I9_AF	Atrial fibrillation and flutter	17325	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_AF.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_AF.gz
I9_AF_REIMB	Atrial fibrillation and flutter with reimbursement	8171	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_AF_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_AF_REIMB.gz
I9_ANEUR	Endovascular or surgical operations to intracerebral aneurysms	495	165040	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ANEUR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ANEUR.gz
I9_ANEURYSM	Cerebral aneurysm, nonruptured	720	165040	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ANEURYSM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ANEURYSM.gz
I9_ANGINA	Angina pectoris	14712	152621	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ANGINA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ANGINA.gz
I9_ANGIO	Coronary angiopasty	6699	166928	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ANGIO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ANGIO.gz
I9_AORTANEUR	Aortic aneurysm	1919	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_AORTANEUR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_AORTANEUR.gz
I9_AORTDIS	Dissection of aorta	339	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_AORTDIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_AORTDIS.gz
I9_ARTEMBTHR	Arterial embolism and thrombosis	580	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHR.gz
I9_ARTEMBTHRLOW	Arterial embolism and thrombosis of lower extremity artery	342	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHRLOW.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHRLOW.gz
I9_ARTEMBTHRNAS	Other arterial embolism and thrombosis	256	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHRNAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTEMBTHRNAS.gz
I9_ARTOTH	Other diseases of arteries and capillaries	1046	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ARTOTH.gz
I9_ATHSCLE	Atherosclerosis, excluding cerebral, coronary and PAD	4937	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ATHSCLE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ATHSCLE.gz
I9_AVBLOCK	AV-block	1727	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_AVBLOCK.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_AVBLOCK.gz
I9_CABG	Coronary artery bypass grafting	4449	166928	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CABG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CABG.gz
I9_CARDARR	Cardiac arrest	772	97214	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDARR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDARR.gz
I9_CARDMPRI	Cardiomyopathies, Primary/intrinsic	1678	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMPRI.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMPRI.gz
I9_CARDMYO	Cardiomyopathy	2342	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYO.gz
I9_CARDMYOHYP	Cardiomyopathy, Hypertrophic obstructive	251	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYOHYP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYOHYP.gz
I9_CARDMYOOTH	Cardiomyopathy, other and unspecified	971	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYOOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CARDMYOOTH.gz
I9_CEREBDOTH	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	729	165040	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CEREBDOTH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CEREBDOTH.gz
I9_CEREBVASC	Cerebrovascular diseases	11859	165040	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CEREBVASC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CEREBVASC.gz
I9_CHD	Major coronary heart disease event	16631	160268	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CHD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CHD.gz
I9_CHD_NOREV	Major coronary heart disease event excluding revascularizations	13809	160163	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CHD_NOREV.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CHD_NOREV.gz
I9_CONDUCTIO	Conduction disorders	3271	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CONDUCTIO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CONDUCTIO.gz
I9_CORATHER	Coronary atherosclerosis	18295	152621	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CORATHER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CORATHER.gz
I9_CVD	Cardiovascular diseases	86957	89942	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CVD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CVD.gz
I9_CVD_HARD	Hard cardiovascular diseases	22860	154039	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_CVD_HARD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_CVD_HARD.gz
I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	22948	153951	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_DISVEINLYMPH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_DISVEINLYMPH.gz
I9_DOAAC	Diseases of arteries, arterioles and capillaries	9056	167843	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_DOAAC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_DOAAC.gz
I9_DVTANDPULM	DVT of lower extremities and pulmonary embolism	6019	170880	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_DVTANDPULM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_DVTANDPULM.gz
I9_ENDOCARD	Endocarditis	312	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ENDOCARD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ENDOCARD.gz
I9_E_DRONE	Dronedarone medication	354	129908	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_E_DRONE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_E_DRONE.gz
I9_HEARTFAIL	Heart failure,strict	9576	159286	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL.gz
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	17387	159058	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL_ALLCAUSE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL_ALLCAUSE.gz
I9_HEARTFAIL_NS	Heart failure, not strict	17613	159286	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL_NS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HEARTFAIL_NS.gz
I9_HYPERTENSION	Hypertensive diseases	43576	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPERTENSION.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPERTENSION.gz
I9_HYPERTROCARDMYOP	Hypertrophic cardiomyopathy	432	176467	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPERTROCARDMYOP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPERTROCARDMYOP.gz
I9_HYPOTE	Hypotension	1398	175178	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPOTE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPOTE.gz
I9_HYPTENS	Hypertension	43545	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENS.gz
I9_HYPTENSEC	Secondary hypertension	982	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSEC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSEC.gz
I9_HYPTENSESS	Hypertension, essential	33229	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSESS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSESS.gz
I9_HYPTENSHD	Hypertensive Heart Disease	3252	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSHD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSHD.gz
I9_HYPTENSHR	Hypertensive heart and/or renal disease	3674	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSHR.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSHR.gz
I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	6120	94241	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSPREG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSPREG.gz
I9_HYPTENSRD	Hypertensive Renal Disease	373	133323	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSRD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_HYPTENSRD.gz
I9_ICH	Intracerebral haemmorrhage	1224	163533	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ICH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ICH.gz
I9_IHD	Ischaemic heart disease, wide definition	25366	151533	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_IHD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_IHD.gz
I9_INTRACRA	Nontraumatic intracranial haemmorrhage	2086	165040	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_INTRACRA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_INTRACRA.gz
I9_ISCHHEART	Ischemic heart diseases	24278	152621	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_ISCHHEART.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_ISCHHEART.gz
I9_K_CARDIAC	Death due to cardiac causes	6314	170585	gs://finngen-public-data-r4/summary_stats/finngen_R4_I9_K_CARDIAC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_I9_K_CARDIAC.gz
